index,value,name
3904,30.859935331740417,SLC1A2
16466,19.15389701258391,ZBTB20
7721,17.93511888384819,CTNNA2
12171,16.68425355432555,LRP1B
5819,14.857452720403671,MAGI2
19849,14.174053282476962,NEAT1
2362,9.675374531187117,BCKDHB
17072,9.588293273700401,DPP10
3590,9.412011750973761,PPP2R2B
6954,9.275584040209651,MALAT1
4388,8.117571376962587,GPM6B
5959,6.695073884911835,FYN
12897,6.175881369039416,ATP1A2
19338,6.024291510693729,DPP6
10184,5.802139196312055,ERBB4
18061,5.671194854192436,FKBP5
19552,5.667097873985767,MAP3K5
8600,5.5870111850090325,PRKCA
2802,5.452637137495913,FBXL7
12367,5.154985662689796,GPC5
8527,4.72810568427667,ITPR2
18100,4.610494581051171,ESRRG
5210,4.304253784008324,ARAP2
11625,4.291312505956739,L3MBTL4
1028,4.110812101989723,RYR3
9558,4.082849009428173,MEIS2
8392,3.753203192748515,RORA
13005,3.5952950946666533,HIF3A
7514,3.5838638031855226,SFXN5
11317,3.5425492532085627,ARHGEF4
5935,3.503721087527083,MACF1
5204,3.462420153664425,TPST1
15086,3.405881034443155,SMYD3
7268,3.3797139627858996,TNRC6A
14426,3.2685165780130774,LPP
12768,3.2279286278935615,FMN2
14252,3.170378383681964,PDZRN3
8538,3.0810131784437544,SOX5
15192,3.072446976439096,TMEM161B-AS1
9781,3.030140603717882,FAM155A
11393,2.963742804946378,LINC00461
18190,2.917063386645168,TAB2
3093,2.8447465049102902,CPE
15863,2.7973693581297994,TNRC6B
17045,2.751798212295398,PSD3
16260,2.7350781746208668,PTPRG
3105,2.5404269590508193,CAMK2G
7519,2.4580109989037737,CLU
3640,2.4382168469019234,FAM184A
7877,2.3124729874543846,SSH2
9173,2.311697015305981,TTC3
10965,2.3009311467176303,DOCK4
14741,2.2709131517913193,TCF4
19446,2.2278371520806104,KANSL1L
4409,2.209584988770075,OPHN1
3028,2.174689249601215,ADAMTS9-AS2
4902,2.168439895613119,PCGF5
7703,2.1481922476086766,REV3L
16509,2.111153698875569,LRRC4C
16205,2.1017261477209104,AHCYL2
7525,2.080091244308278,UBC
3617,2.0044181991834193,PTPRA
18658,1.944819390308112,AUTS2
5873,1.9236894396599382,ZMAT1
13979,1.9218859162647277,ZNF98
9859,1.9053582840570016,MAML2
9112,1.8997908593155444,PCMTD1
10413,1.8977514901198447,APC
12602,1.8779883217066526,ADD1
3417,1.8419633097946644,PCCA
5171,1.8217438495485112,FTX
12422,1.8077919206698425,NAV3
11554,1.8011457667453215,ADD3
16474,1.7966795400716364,TNRC18
9255,1.7887517465278506,CNTNAP3B
5314,1.7796364347450435,SOX2-OT
10564,1.778617661446333,KIF21A
5147,1.777546668658033,CDH2
16164,1.761756626656279,ANTXR1
7983,1.7612110413610935,UVRAG
11691,1.7123756617147592,IMMP2L
10686,1.7032300028949976,ZCCHC7
14314,1.6961204858962446,SGIP1
11544,1.6910525040584616,NRCAM
18348,1.6861166420858353,ERC1
15811,1.6775243760221201,QKI
17144,1.66870483441744,FAM189A2
18269,1.6680597154190764,SCAPER
12570,1.656894353684038,AKAP9
10391,1.6319888440193608,GLUD1
14269,1.6277539851143956,EPN2
18712,1.6134686917066574,TRAK1
19028,1.5947284582071006,SAMD4A
4385,1.5571643998846412,ZMYND11
13166,1.544821031508036,ATG7
6294,1.5424714281980414,ASTN2
10054,1.5282922682818025,FGF2
19460,1.512116969563067,ITM2B
849,1.5049399135168642,PDE7B
3744,1.502570018172264,GEM
17573,1.494284841697663,CREBBP
7047,1.4854024176020175,TRIO
8768,1.4666830589994788,CACNA1C
13761,1.4380831874441355,NTRK3
1219,1.437798219267279,RAB28
9980,1.4344350792234764,SPON1
13088,1.4303108516614884,SLC14A1
10765,1.4186138107907027,RPRD2
14605,1.4153650375083089,CDC14A
17095,1.406562831485644,ACOT11
16520,1.3812481996137649,OSBPL11
15129,1.379357647500001,MT2A
9298,1.3781674930360168,OSBPL3
96,1.3663908635498956,STARD13
11124,1.3571376787142526,AQP4-AS1
6258,1.353372882353142,SON
14264,1.3529078147839755,FGFR1
8013,1.3486382816918194,UNC79
378,1.31708389648702,ZFHX3
6429,1.3136637161951512,SETD2
15566,1.308313213987276,MAPK8
4263,1.3037606425350532,C9orf3
12927,1.30133630533237,VTI1A
11224,1.2893500953214243,GNA14
9019,1.2858454580418766,NKAIN2
2291,1.2730834041722119,SMARCA2
1190,1.271522055438254,GNAQ
1249,1.2601434108801186,FRYL
12596,1.2518367097363807,RGS20
1188,1.2337229987606406,ACBD6
13269,1.2323669674806297,PHF21A
8484,1.2243784172460437,SRSF11
1281,1.209363883943297,NF1
20077,1.2083201655186713,KANSL1
18144,1.206590011715889,LRRC1
17394,1.2027260104659945,TMCC1
14983,1.1954989968799055,PRRX1
6187,1.1943090023705736,FOXO3
5319,1.1940765559847932,TCF7L2
9031,1.193711886415258,MBNL2
7276,1.1934718070551753,SNRNP70
7970,1.1930497349239886,PCBP2
6461,1.191167514771223,ITSN1
6315,1.1675314585445449,ARHGAP42
17716,1.1652168267173693,CACHD1
17092,1.163606851856457,SGCD
7972,1.1583707523532212,ITGA7
9588,1.1552433082833886,CTDSPL
6419,1.1551257299724966,PTPN4
16059,1.1476432224735618,RYK
11125,1.1408276434522122,PLSCR4
1262,1.140000483719632,ALDH1L1
1183,1.1379721495322883,TMEM131
12081,1.1331755011342466,BBX
13351,1.1151184909977019,RASA1
18961,1.1063454548993832,GLIS3
7115,1.1057934446725994,TTTY14
19690,1.1036806225893088,PTPRJ
8406,1.1028778689797036,ABLIM1
3116,1.1007328548002988,NOTCH2
18760,1.1004166372586042,ASPH
1576,1.0999380555003881,MCC
18198,1.0818335131079948,KMT2C
6204,1.078893089434132,ST6GAL1
2386,1.0753722847439349,MTA3
4228,1.0737341900821775,SPRED2
13120,1.0688669595401734,LINC00882
14254,1.0685659279115498,UBE2K
3613,1.0668868492357433,SDCCAG8
16288,1.064764921902679,TRIM2
1105,1.0594328329898417,CFDP1
13652,1.054823812795803,SPAG9
12994,1.0387014425359666,PKNOX2
15475,1.038160877302289,SNX29
5161,1.0372273926623166,PPARGC1A
14219,1.0319907567463815,NR2C2
19384,1.0315909194760025,TIMP3
7782,1.030340452096425,TPCN1
7507,1.0290821093367413,MAPK4
11666,1.0216919657832477,MAP4K4
19132,1.019818886416033,SRPK2
16341,1.0192825534613803,TRA2A
7249,1.0156643139198422,CA8
11374,1.0143709543626755,ATP2B4
17276,1.0057150144129992,DNM1L
13762,1.0022418395783461,NAV2
5146,1.0017265165224671,TLK1
5422,0.9965342655777931,JMJD1C
5584,0.9962043600389734,C1orf21
5304,0.9891486652195454,SPIN1
5995,0.9762490692082793,GBF1
2282,0.9759803684428334,GNG12
8206,0.9747755909338593,TBC1D19
9160,0.9692969033494592,TACC1
6293,0.968281168024987,SCAF11
2382,0.966714967507869,LINC00271
16623,0.964179084636271,HIPK3
12973,0.9626687818490609,TBC1D22A
16724,0.9493335979059339,SRGAP2
13021,0.9450782736530527,STIM2
500,0.9388671170454472,ENSA
18888,0.9374728331749793,ZSWIM6
15310,0.9338271501474082,WASF3
15209,0.9283906486234628,DLGAP1
9189,0.9280080433236435,FTH1
1919,0.9233854552730918,WDR11
11802,0.9201161295641214,MFAP3L
3667,0.9200743087567389,PFKFB3
18153,0.9151923488389002,SBF2
1239,0.8979410617612302,RAB2A
3460,0.8927882271818817,KAT6B
2758,0.8901951764710248,PBRM1
6347,0.8858351581729949,FAM13B
10747,0.8815511203720234,ARHGEF3
19950,0.8787580917123705,CCNH
17277,0.878424528054893,TEX21P
10168,0.8766417305450886,MLLT3
14608,0.868347195442766,PAAF1
7659,0.8628822152968496,AGO3
2563,0.8628036188847545,CADM1
15572,0.8602528593037277,GARNL3
13058,0.8578836536034942,TTYH1
6982,0.8542316034436226,TNC
987,0.8515545330010355,CUL4A
9753,0.8384328860556707,WDR49
10642,0.8332564618904144,RICTOR
13582,0.8330325515853474,BICD1
5546,0.8286794086452574,TPD52L1
12996,0.82750338409096,PEX14
17506,0.8214598261256469,FNBP1
7306,0.8206847235560417,ITPK1
18412,0.8188781969074626,RNF220
13387,0.8180029005743563,CDS2
13429,0.8169734133407474,PUM2
12409,0.8154305520001799,ABI1
3498,0.8126403740607202,RHOBTB3
7879,0.8100546044297516,BICC1
13794,0.8079015051480383,FGGY
7463,0.8074531324673444,PAXBP1
4607,0.8024531740229577,KREMEN1
13669,0.8000667677260935,STX18-AS1
2338,0.7909582335851155,MTSS1L
11442,0.7908052993007004,MYO5A
4991,0.7882374196778983,BRINP3
2871,0.7821218681056052,ZDHHC21
7883,0.772759054787457,EXOC7
277,0.7616476739058271,KLF12
1128,0.7613217392936349,TMEM260
14433,0.7610460014548153,PDK4
14270,0.7594538955909229,WSB1
970,0.7592501088511199,SOS2
4246,0.7579904580488801,RBPMS
4323,0.757908011553809,CDC27
13344,0.7540862144669518,CDKAL1
2792,0.7540005776099861,UGGT2
19300,0.752350636292249,KLHL32
18254,0.7513023216451984,EPB41L1
1241,0.7501020561903715,ZC3H12C
9959,0.7486930488375947,NR2F1-AS1
11686,0.7448216187767684,METRN
12259,0.743210609187372,ERI3
7779,0.7430268046300625,RFX4
1113,0.7429742959793657,KCNIP1
4873,0.7392125821206719,FAM66C
14026,0.7368328948623457,FHIT
14626,0.7362991627305746,SRRM2
3518,0.7322574381250888,ANKFN1
11486,0.7308762427419424,MLLT10
9333,0.7271010156255215,MT3
2437,0.7240694570355117,FBXW8
14562,0.7232269145315513,ATXN1
14062,0.7210391953121871,DPY19L3
6165,0.71796782722231,WDR33
1440,0.7111166577087715,ACACB
14295,0.7102426001074491,NCOA2
15840,0.7098950377549045,PPFIA2
4289,0.7077958408699487,PPFIA1
9427,0.7074415099341422,AGO2
15415,0.7039732781704515,OSBPL9
9125,0.703866638476029,FGF14
12683,0.6994121588068083,RHEB
14842,0.69057921692729,MARCH1
2728,0.6880309732514434,SLC9A9
9276,0.6868343942333013,EVA1C
19330,0.6812414902960882,MAP1B
4960,0.6797526569571346,GABPB1-AS1
9509,0.6774076442234218,ZFR
1267,0.677144548855722,ATP2C1
17642,0.6750929590930355,CTNND2
19642,0.6742759731132537,GTDC1
4009,0.6742205952759832,OGDH
738,0.6696878253715113,TMEM164
9412,0.6679443195462227,ARAP1
13151,0.6649902355857193,PDE3A
6243,0.6607926674187183,TRIP12
1141,0.6484472951851785,HMGN5
6876,0.6471350895153591,KANK1
358,0.6468318024999462,GPC6
19449,0.6464392843190581,ATP10D
9337,0.6443900080630556,PRICKLE2
18175,0.6441002390347421,NME5
2344,0.6434678668156266,MYH14
5383,0.6421398178208619,PRTFDC1
5471,0.6416034358553588,NUCKS1
18238,0.6389204196166247,MACROD2
10385,0.6373970047570765,PTPRF
8616,0.6355541943921708,PSPC1
14569,0.6347744602826424,AHI1
14583,0.6344235453289002,SLC24A2
6485,0.6326673539588228,JUN
7446,0.6311738870572299,WASF2
842,0.6305133093846962,WAC
17586,0.6304980309505481,BCL2
19958,0.6289488882757723,ABR
12727,0.6286485355813056,VOPP1
7121,0.6283037717221305,PTPN13
13194,0.6256410751957446,NUDCD3
19324,0.6253841762663797,FAR1
8096,0.6167843490839005,FAM102A
5848,0.612433421658352,IL1RAPL1
5174,0.6093552298843861,RIC3
5080,0.6087506270268932,R3HDM1
15256,0.6065951364580542,FBXO42
3654,0.6065212934627198,DDAH1
9245,0.6057799244299531,GPR173
16498,0.6057736990042031,SLC22A23
15934,0.6052208442706615,PHIP
7226,0.6045342474244535,FNDC3A
965,0.6035621135961264,INO80D
16134,0.6016536001116037,LIN52
13390,0.5966691086068749,CYP27A1
1082,0.596368820493808,BMPR2
9285,0.5944398525207362,CNTN1
11845,0.5940915322862566,MAP2K4
18505,0.5933833543676883,ABCA1
14256,0.5933170538628474,NAT8L
5244,0.5888374571222812,ZNF532
15361,0.5883570717414841,NBEA
19450,0.5874150572344661,IST1
19086,0.5858240318484604,WWTR1
13321,0.583065505954437,PPP1R3C
18084,0.5810951781459153,MARCH5
18385,0.5809116035234183,CAST
9645,0.5808793106116354,FBXL20
13173,0.5789716757135466,GRIP1
12789,0.5788143804238643,CCDC88A
9745,0.5758073854958639,WNK2
5492,0.5753481018473394,TSC22D2
16923,0.574513315805234,BBS2
4210,0.5717123924405314,LRRTM4
12330,0.5714079693425447,DCAF10
9213,0.5681520271559748,EGFR
5951,0.5665868478827178,TAF1
93,0.5662268416490406,PTPRM
2487,0.565492722671479,TRIP11
9133,0.5646161555778235,RGL3
2222,0.5643712747842073,RNF38
13998,0.5612823851406574,KIAA1109
19698,0.5609978187130764,PAPLN
5961,0.5599401392719301,ATP13A4
16980,0.5595695357769728,MEF2C-AS1
1523,0.5587462593975943,NFIA
3816,0.5585628321277909,ZHX3
9455,0.5583798160078004,SUCLG2
16043,0.5541654541157186,ZBTB41
19342,0.5504727954976261,SPOCK2
9129,0.5504478191687667,SLC24A3
770,0.5496051562950015,MGLL
18195,0.5476758829317987,PTPRS
16552,0.5475227648857981,DZIP3
10,0.5472732663620263,HSDL2
9705,0.5466413904214278,XIST
3992,0.5460121122887358,ZIC1
1156,0.5452300990000367,DCAF7
9244,0.5440303664654493,ALDH3A2
19079,0.5410192576237023,SMC5
724,0.5381715495605022,NAA35
9330,0.5366686466149986,ATF7IP2
10171,0.5363545928848907,LCOR
12893,0.5349436632532161,WARS
15136,0.5331468906952068,DAP3
14425,0.5324744750978425,CDC42SE2
17576,0.5300725298002362,ARHGAP39
1263,0.5290920767001808,SCYL2
2479,0.5284202774055302,DZIP1
17474,0.5237033275188878,DPYSL3
3011,0.5223084198078141,S100B
5919,0.5218397350981832,ANAPC5
18458,0.5209790468215942,CHIC2
13723,0.5195446506841108,RASSF4
7789,0.5187256335048005,UBL3
4095,0.5185524059925228,NPEPPS
19475,0.5176630901987664,PLXNB2
