index,value,name
9870,22.000218753237277,TMEM108
16700,8.659179111011326,KAZN
11461,7.840884582095896,FRMD4A
16509,6.182408441789448,LRRC4C
1486,5.726314414292574,MDGA2
12171,5.663235134445131,LRP1B
16466,3.5454665292054415,ZBTB20
5959,3.1705419428180903,FYN
11442,2.590527786873281,MYO5A
9674,2.4254984576255083,LHFPL3
19338,2.1459631274919957,DPP6
277,1.6128721232526004,KLF12
18649,1.429945872630924,DCC
2498,1.4162073847837746,NCAM1
14111,1.2926365609746426,GPR17
19690,1.2813485213555396,PTPRJ
4982,1.230902100156527,CRB1
16879,1.091700816527009,PCDH15
1972,1.0593583856825717,TCF12
2897,1.0435547936576768,TNR
14583,1.0364192106062546,SLC24A2
17092,1.018654854502529,SGCD
16260,1.0148612053599209,PTPRG
18922,0.9730950265657157,SIRT2
11691,0.9632940418086946,IMMP2L
17411,0.8857022534357384,NAALADL2
12797,0.8845843064482324,FGF12
14269,0.8732698517851532,EPN2
557,0.8691420023096725,NCKAP5
8600,0.8665762818418443,PRKCA
14929,0.8574420753866434,APBB2
11754,0.8358803992159665,LDB2
11179,0.8348642743658274,NRG3
8392,0.8089667112799361,RORA
15209,0.788286630064249,DLGAP1
1964,0.7759479983942583,TMEM132B
957,0.7753133851801977,ADARB2
4409,0.7570320114027709,OPHN1
9125,0.7371021574281258,FGF14
15192,0.7303403024561703,TMEM161B-AS1
14842,0.701579115120694,MARCH1
11544,0.7009847555891611,NRCAM
18937,0.6988418319961056,LINC00511
5107,0.6950198046397418,DMD
8484,0.6583740580826998,SRSF11
6411,0.6509398593188962,MMP16
2563,0.6348928503575735,CADM1
1806,0.6299628131091595,NPAS3
18238,0.6228856721427292,MACROD2
7659,0.6188853094354272,AGO3
8861,0.5886743539012969,TIAM1
1991,0.5677977627783548,PCDH7
4388,0.5645341310882941,GPM6B
10168,0.548425623215735,MLLT3
12427,0.5473186196759343,CNTNAP5
15863,0.5460624643601477,TNRC6B
10642,0.532761606387794,RICTOR
16498,0.5246251106727868,SLC22A23
6682,0.5174998509464785,TTC28
20077,0.5140475616790354,KANSL1
11602,0.49785435490775853,DLC1
18107,0.49610012234188616,PPP1R9A
2179,0.49041973799467087,NAPEPLD
5584,0.4869342730380595,C1orf21
6664,0.4836462071398273,KCNQ1OT1
10564,0.4677516150986776,KIF21A
5991,0.46292475797235966,CCSER2
3435,0.4607905551092699,TMEM163
3937,0.44956942251883447,DST
4391,0.4465750315102923,PRICKLE1
5591,0.44537255354225636,P2RX7
19742,0.4285171763767721,ARHGAP5
5314,0.4204480637126835,SOX2-OT
8013,0.4170566906686872,UNC79
1949,0.40326904924586415,PUM1
5935,0.39661391940899193,MACF1
19330,0.39316733554005623,MAP1B
13736,0.38899877993389964,SOGA1
8160,0.3840974551203544,PTPRD
6294,0.38350540678948164,ASTN2
4873,0.38217224972322583,FAM66C
11015,0.3795586875639856,RABGAP1L
3617,0.37902006274089217,PTPRA
17045,0.3776757309678942,PSD3
17573,0.37646670499816537,CREBBP
1188,0.3737598869483918,ACBD6
10878,0.3679428878822364,CCSER1
2792,0.3654982657171786,UGGT2
711,0.36542156015639193,CSMD2
19300,0.36207514465786517,KLHL32
2802,0.35620292951352894,FBXL7
18254,0.35558074433356524,EPB41L1
7047,0.35308871034067124,TRIO
4263,0.3517567762173712,C9orf3
