index,value,name
15794,215.84074537828565,MALAT1
5505,79.0622337013483,LSAMP
18428,70.99634328484535,PCDH9
7265,70.63254268467426,GPM6A
15264,62.720886539667845,SLC1A2
3087,58.103802748024464,NRXN1
6809,55.529707707464695,SPARCL1
7425,54.3057622089982,FBXL7
28113,46.042799189686775,XIST
5497,43.36719750612974,ZBTB20
6796,41.22685220837593,MAPK10
23201,39.79426134005189,PITPNC1
4257,39.44420988112688,ERBB4
19140,34.542266223579645,NPAS3
25862,33.939533226192,CST3
12873,33.896559067070484,TRPM3
14265,33.15394345484674,NRG3
12943,31.119360096752644,NTRK2
6972,29.261317886412144,ANK2
9406,28.940845776349306,DST
5320,27.867485342547297,CADM2
3669,27.836353780701756,DPP10
7411,27.62761726230383,CTNND2
9039,24.008260399103165,HSPA1A
11947,23.662128686904907,NKAIN3
16549,22.760444417595863,NTM
20508,16.407326839864254,RORA
28116,16.21118562668562,FTX
6794,16.16554377786815,ARHGAP24
11737,15.39152716100216,CLU
7494,14.702679073438048,SLC1A3
23633,14.607508439570665,AQP4
16318,14.405891744419932,CADM1
2776,14.372331470251083,LINC00299
5695,14.136164583265781,TMEM108
924,13.821651818230748,NFIA
5211,13.633584219962358,PTPRG
6249,12.736680805683136,FGFR3
18579,12.411735600791872,GPC5
23773,11.736418664455414,TCF4
11054,10.656423438340425,PTPRZ1
4068,10.635124254971743,FAM171B
11007,10.53325080871582,DOCK4
12362,10.49559373408556,PTK2
17412,10.297438336536288,NAV3
12536,9.54388352483511,NFIB
15663,9.394496247172356,FTH1
4560,8.93262043595314,CHL1
11113,8.210404871031642,AHCYL2
6843,8.136671926826239,BMPR1B
905,7.865874584764242,PPAP2B
20223,7.826467946171761,RYR3
2186,7.651031743735075,CRB1
20255,7.600221287459135,MEIS2
25014,7.594544490799308,APOE
12031,7.447267958894372,ZFHX4
10174,7.303419373929501,PHF14
17333,7.149791903793812,WIF1
13779,6.777863040566444,PRTFDC1
3069,6.737429037690163,CALM2
7220,6.668271149508655,CPE
7627,6.620419455692172,ZSWIM6
15182,6.530348394066095,NAV2
17694,6.405588518828154,MED13L
11660,6.371431997045875,PSD3
