index,value,name
18428,205.85823362320662,PCDH9
15794,109.52742153266445,MALAT1
7226,87.23662996664643,SPOCK3
15663,82.80129998922348,FTH1
28301,70.82274290267378,PLP1
28113,45.18964786827564,XIST
13766,42.52561599574983,PIP4K2A
17430,39.443577501922846,TMTC2
6972,37.964541394263506,ANK2
27699,37.38289201259613,IL1RAPL1
10350,33.41815008223057,SEPT7
11895,31.150082476437092,ST18
7156,26.89753726683557,TRIM2
10024,26.635627605021,QKI
12362,25.625974778085947,PTK2
5426,24.773482725024223,ALCAM
959,24.14542578998953,PDE4B
4719,22.690817644819617,KCNH8
22793,22.12993325293064,CNP
4257,21.118290132842958,ERBB4
5497,19.493198649957776,ZBTB20
6542,19.11536002997309,FRYL
6844,18.868405864574015,UNC5C
16325,17.531965635716915,SIK3
16519,17.513480132445693,KIRREL3
1048,17.473224406130612,TTLL7
9769,17.4515402847901,PTPRK
3868,16.980826759710908,ERMN
28116,16.517042569816113,FTX
19140,16.148301306180656,NPAS3
4049,16.08789960294962,PDE1A
14657,15.89148741029203,FGFR2
23821,15.866840898059309,PHLPP1
10609,15.363525150809437,AUTS2
9406,14.572693957947195,DST
9744,14.332347195129842,NKAIN2
4107,13.936653417535126,TMEFF2
15379,13.74727300927043,FOLH1
6580,13.118356480263174,TMEM165
14066,12.73094786517322,JMJD1C
9039,12.565517945215106,HSPA1A
6975,12.50607155635953,UGT8
15653,12.500214578583837,MYRF
27714,12.434174660593271,DMD
3230,12.130124928429723,EXOC6B
16549,12.10925809852779,NTM
956,12.025593228638172,DNAJC6
13744,11.965237267315388,PLXDC2
3226,11.815420522354543,ZNF638
1022,11.553687762469053,AK5
16297,11.532085925340652,NCAM1
12527,11.529527808073908,PTPRD
5505,11.182310549542308,LSAMP
18617,11.131092163734138,MBNL2
15118,11.013671234250069,FAR1
18501,10.77971522603184,SLAIN1
7627,10.62716805562377,ZSWIM6
18111,10.548208110965788,N4BP2L2
132,10.434246639721096,RERE
7209,10.18744288990274,MARCH1
20189,9.381188262254,TJP1
3121,9.310643105767667,VRK2
17049,9.234269498847425,DIP2B
7425,9.016917858272791,FBXL7
28444,9.01261161454022,LAMP2
26479,8.613693471066654,NCAM2
15106,8.46776550449431,USP47
3111,8.223896706476808,CCDC88A
3087,8.181353328749537,NRXN1
14078,8.159891287330538,CTNNA3
7932,8.072313454933465,SEMA6A
3069,7.963036864995956,CALM2
17694,7.638943450525403,MED13L
14281,7.615358528681099,GRID1
10968,7.588953427970409,SRPK2
5384,7.579307785257697,CLDND1
11194,7.577102391049266,HIPK2
6796,7.555307207629085,MAPK10
17427,7.492633902467787,PPFIA2
11352,7.461607303004712,CNTNAP2
11660,7.399225655943155,PSD3
998,7.331370898522437,NEGR1
5099,7.239859589841217,DOCK3
25161,7.1871073776856065,FTL
820,6.9950137650594115,FAF1
16277,6.721982216928154,CRYAB
6025,6.721216515172273,SOX2-OT
4703,6.705288925208151,ANKRD28
11007,6.688506339211017,DOCK4
19402,6.679774492047727,PLEKHH1
16229,6.659810222685337,GRIA4
7411,6.655860782600939,CTNND2
18635,6.441523959860206,DOCK9
7789,6.251688420074061,EDIL3
18189,6.108691481873393,ELF1
17533,5.865956434980035,ANO4
10174,5.767804333940148,PHF14
27231,5.714134477078915,FBXO7
13701,5.669333454687148,FAM107B
24637,5.593681233469397,ZNF536
8683,5.461479775607586,CDKAL1
7110,5.452278034761548,HHIP
22450,5.416232317686081,WSB1
10708,5.381872044876218,GNAI1
20871,5.354144889861345,SLCO3A1
16062,5.342305454425514,GAB2
16580,5.237493998371065,ADIPOR2
19139,5.1669771037995815,AKAP6
3855,5.143168638460338,GALNT13
22545,5.078407137654722,EVI2A
10703,5.055967099207919,MAGI2
6458,5.001993265468627,ARAP2
4830,4.951520551927388,LRRFIP2
17626,4.950192732736468,C12orf76
17710,4.9349263133481145,PEBP1
6774,4.775555985979736,SCD5
28348,4.763932313770056,COL4A5
18288,4.762412051670253,ITM2B
8067,4.7020447289105505,SPOCK1
7880,4.685815113596618,FBXL17
4138,4.65381077863276,FTCDNL1
10673,4.612062742002308,HIP1
4450,4.605210453271866,GIGYF2
23369,4.594912350177765,CYTH1
18016,4.551552849821746,AMER2
22249,4.473726745694876,GAS7
988,4.45191047526896,SRSF11
19638,4.446270768996328,CLMN
13779,4.378219619393349,PRTFDC1
537,4.356651980429888,MARCKSL1
123,4.351542484946549,CAMTA1
26307,4.350366078317165,PHACTR3
10712,4.341295043006539,SEMA3C
4985,4.302327207289636,SETD2
7243,4.26006893068552,MFAP3L
809,4.162344755604863,SPATA6
14659,4.150339378975332,ATE1
4738,3.9224730017594993,UBE2E2
6930,3.893320931121707,SEC24B
4449,3.8450072780251503,EFHD1
19781,3.8344130450859666,HSP90AA1
22632,3.823011474683881,ACACA
12536,3.803235880099237,NFIB
7145,3.739126364700496,SH3D19
21325,3.660776336211711,SLC5A11
9974,3.6342702759429812,ARID1B
12911,3.619392227381468,GNAQ
4875,3.5446398151107132,MOBP
323,3.544229303020984,CAMK2N1
9594,3.512974825222045,PNISR
11825,3.4737685211002827,TACC1
5990,3.4680016743950546,NAALADL2
7075,3.31071947934106,ELF2
7838,3.2979905079118907,ELL2
522,3.2486462760716677,PTP4A2
23529,3.236696650274098,ANKRD12
23220,3.2297855243086815,ABCA8
7508,3.212334389798343,LIFR
4397,3.2050881371833384,DNER
7185,3.2030877331271768,GRIA2
24581,3.2019492024555802,ZNF708
21544,3.1916461950168014,ITFG1
10984,3.1876221243292093,COG5
12669,3.1715840511024,UBE2R2
23352,3.156803439371288,TNRC6C
23658,3.1204160852357745,GAREM
2779,3.111274404451251,KIDINS220
14387,3.011793237645179,TBC1D12
8232,2.9847050327807665,JAKMIP2
13034,2.973498014267534,C9orf3
1159,2.9463403369300067,PTBP2
23030,2.9364518970251083,LUC7L3
4154,2.9357118625193834,FAM126B
4116,2.9039136464707553,HECW2
11717,2.893190756905824,DOCK5
5257,2.8787750247865915,ARL6IP5
11208,2.859870628453791,BRAF
11141,2.857896232046187,MKLN1
4755,2.807286113500595,TOP2B
18227,2.7676508659496903,CCDC122
23131,2.75305990409106,MED13
6114,2.7522677974775434,LPP
9882,2.732203181833029,AIG1
12943,2.7272959034889936,NTRK2
4461,2.716801659204066,USP40
13550,2.7011240544961765,PTGDS
12192,2.688121455721557,UBR5
