index,value,name
28301,75.27308042068034,PLP1
18428,61.71552500501275,PCDH9
15794,61.38074521184899,MALAT1
27699,48.97074621543288,IL1RAPL1
28113,35.12050021998584,XIST
15663,29.608625311404467,FTH1
7226,28.04393824003637,SPOCK3
3069,24.3113843947649,CALM2
6972,20.03374181408435,ANK2
7156,19.8028577985242,TRIM2
6025,13.96143039688468,SOX2-OT
11895,13.658647311851382,ST18
959,13.124361842870712,PDE4B
13766,12.502736005932093,PIP4K2A
7209,12.472736489959061,MARCH1
4257,12.458700017537922,ERBB4
14052,11.665208390913904,ANK3
27714,10.540397654287517,DMD
11007,8.680610382929444,DOCK4
4049,8.576021370943636,PDE1A
13744,8.327488445676863,PLXDC2
9744,8.283916948596016,NKAIN2
12563,8.254777458962053,SLC24A2
5210,8.09226979711093,FHIT
16519,8.03686083946377,KIRREL3
16325,8.01505278563127,SIK3
10703,7.830216540955007,MAGI2
28444,7.760192782618105,LAMP2
1048,7.619045699480921,TTLL7
19140,7.5620942884124815,NPAS3
22793,7.541193827055395,CNP
829,7.512508612126112,EPS15
14078,7.496975417714566,CTNNA3
16549,7.40665730740875,NTM
12527,7.154647136107087,PTPRD
20189,7.144086664542556,TJP1
19389,7.106987293809652,FUT8
7627,6.636384733021259,ZSWIM6
20478,6.562346192775294,TCF12
2788,6.511433400213718,YWHAQ
1022,6.347274350002408,AK5
15118,6.232525215949863,FAR1
10174,6.080134812742472,PHF14
17521,6.006335753947496,ANKS1B
21605,5.765147283673286,GNAO1
17430,5.654481290606782,TMTC2
9039,5.469709417782724,HSPA1A
5426,5.284579477738589,ALCAM
820,5.190103912726045,FAF1
4429,5.1517537562176585,PTMA
18501,5.023079655133188,SLAIN1
2015,5.022527255350724,DNM3
19781,5.020393354352564,HSP90AA1
7932,4.9524550987407565,SEMA6A
1099,4.857048976235092,LRRC8D
18617,4.8486919910646975,MBNL2
5505,4.627356074983254,LSAMP
3226,4.574316573794931,ZNF638
6458,4.555819406406954,ARAP2
2197,4.4681062758900225,MIR181A1HG
15379,4.46555953938514,FOLH1
12362,4.424586835550144,PTK2
537,4.386228577699512,MARCKSL1
20784,4.371280713705346,SH3GL3
20477,4.3555800672620535,ZNF280D
7425,4.319592538056895,FBXL7
4107,4.1911082016304135,TMEFF2
6580,4.181267247651704,TMEM165
9326,4.094082044437528,RCAN2
7789,4.082283964380622,EDIL3
20209,4.079220034647733,OTUD7A
9769,4.016004782170057,PTPRK
1104,3.8871259270235896,ZNF644
27194,3.845522925257683,OSBP2
10350,3.8053636737167835,SEPT7
6975,3.7388610059861094,UGT8
5917,3.703542355913669,TRIM59
3855,3.6820155289024115,GALNT13
22517,3.6745762419886887,SSH2
2221,3.5551887284964323,CSRP1
7185,3.5418980005197227,GRIA2
26307,3.4116149451583624,PHACTR3
11660,3.387725885491818,PSD3
5850,3.3744538612663746,MBNL1
19638,3.3387027583085,CLMN
6542,3.299232001649216,FRYL
4812,3.265837798593566,CLASP2
23658,3.1894511356949806,GAREM
15653,3.1812481405213475,MYRF
998,3.0988899720832705,NEGR1
5765,3.078882448375225,ZBTB38
13779,3.0400369996204972,PRTFDC1
2775,3.0389857133850455,RNF144A
12975,3.0348859122022986,SEMA4D
14476,3.008418179117143,SCD
12536,2.9729828611016273,NFIB
1959,2.9493308644741774,DCAF6
16580,2.923993701580912,ADIPOR2
27299,2.912370080128312,POLR2F
1929,2.897478073835373,MGST3
27444,2.8945669708773494,KIAA0930
4875,2.824835314997472,MOBP
18111,2.8226370592601597,N4BP2L2
14657,2.8052774670068175,FGFR2
23793,2.7816763343289495,ZNF532
9845,2.760086514870636,MAP7
25765,2.6751133566722274,BTBD3
10708,2.669598684646189,GNAI1
3563,2.6588114340556785,MAP4K4
17533,2.638885266613215,ANO4
132,2.559387762332335,RERE
3639,2.5498241167515516,TTL
18189,2.490681705996394,ELF1
11042,2.4567805998958647,CTTNBP2
5763,2.439478741027415,SLC25A36
3868,2.4364465507678688,ERMN
13034,2.4264327839482576,C9orf3
26479,2.4193032460752875,NCAM2
9406,2.3966042994288728,DST
13104,2.3941138605587184,LPPR1
23624,2.3914592349901795,SS18
17626,2.3756315922364593,C12orf76
3121,2.3280698128510267,VRK2
2234,2.3219820223748684,ARL8A
8067,2.310558259487152,SPOCK1
5099,2.301466890843585,DOCK3
4450,2.299438888207078,GIGYF2
16229,2.2760756285861135,GRIA4
5265,2.259645337704569,FOXP1
22632,2.2405990781262517,ACACA
23529,2.23112798249349,ANKRD12
11141,2.206861211452633,MKLN1
4397,2.202654453460127,DNER
12669,2.188907051458955,UBE2R2
3063,2.186591561883688,PIGF
23623,2.1749716885387897,ZNF521
26013,2.160125987138599,RBM39
558,2.1556217949837446,PHC2
18674,2.1102749900892377,NALCN
13814,2.1089488826692104,WAC
9510,2.10809288546443,IBTK
11632,2.1049205895978957,DLC1
13254,2.063710988499224,GSN
14059,2.0521451961249113,ARID5B
4376,2.046880661335308,DOCK10
12917,2.039701893925667,TLE4
6796,2.01807171292603,MAPK10
28115,1.9980404214002192,JPX
3077,1.975847483612597,FBXO11
23513,1.9515251009725034,L3MBTL4
22249,1.9356376412324607,GAS7
549,1.9325100854039192,S100PBP
7880,1.9192524743266404,FBXL17
19402,1.909880784805864,PLEKHH1
7196,1.9072352554649115,RAPGEF2
11194,1.86331923189573,HIPK2
7145,1.8507130147190765,SH3D19
1368,1.8415562696754932,MAN1A2
7838,1.8300372641533613,ELL2
23594,1.8272470301017165,MIB1
17427,1.817501715151593,PPFIA2
20255,1.8109945864416659,MEIS2
1555,1.8040709723718464,POGZ
522,1.786896503996104,PTP4A2
4131,1.783535695867613,RFTN2
8661,1.766108423937112,ATXN1
22545,1.7557504558935761,EVI2A
2779,1.7507222120184451,KIDINS220
13244,1.7415116443298757,MEGF9
2958,1.7410821397788823,CLIP4
2223,1.715195827651769,NAV1
5988,1.7128202116582543,NLGN1
4755,1.7068101409822702,TOP2B
4484,1.7057253137463704,AGAP1
7614,1.7014781220350415,PDE4D
16071,1.695009022951126,RAB30
12879,1.6671168645843863,C9orf85
12904,1.6662188152549788,PRUNE2
3087,1.6441128024598584,NRXN1
23886,1.6440371051430702,ATP9B
12878,1.6193347200751305,ABHD17B
7630,1.6175640607252717,KIF2A
19107,1.6107858279719949,STXBP6
11429,1.609587675658986,KMT2C
8887,1.6048111284617335,MOG
16062,1.6043847701512277,GAB2
10673,1.5972790790256113,HIP1
16518,1.5944933230057359,ST3GAL4
26080,1.580313453450799,ZHX3
3230,1.5690256268717349,EXOC6B
19606,1.5641503715887666,BTBD7
5183,1.5525077069178224,CCDC66
7940,1.5490947486832738,DMXL1
27570,1.5401183348149061,MID1
5990,1.5257529523223639,NAALADL2
2193,1.5029991324990988,NEK7
19169,1.4949175264919177,LINC00609
23773,1.4702966955956072,TCF4
23589,1.4590067830868065,GREB1L
323,1.4506943067535758,CAMK2N1
24733,1.4446829441003501,APLP1
27468,1.4421427780762315,TBC1D22A
5435,1.4348719390109181,LINC00883
28672,1.4196632355451584,IDS
7821,1.4174632797949016,FAM172A
22564,1.4129236869048327,ZNF207
18523,1.4119517235085368,NDFIP2
10609,1.4080144008621573,AUTS2
14281,1.4052666020579636,GRID1
5533,1.4006200414150953,GSK3B
25113,1.398894671117887,SEPW1
12943,1.397885742597282,NTRK2
5767,1.3763173916377127,RASA2
988,1.3756622797809541,SRSF11
23369,1.370692198164761,CYTH1
11208,1.3633999368175864,BRAF
11825,1.358603185042739,TACC1
10714,1.3570573717588559,CACNA2D1
7770,1.3187262332066894,RASGRF2
9604,1.3158565643243492,ASCC3
4138,1.3074625660665333,FTCDNL1
5488,1.3041002582758665,ATP6V1A
22450,1.297701880801469,WSB1
13884,1.2975061908364296,ZNF33A
23173,1.285578693728894,DDX5
956,1.277891089383047,DNAJC6
9719,1.276215746998787,CEP85L
924,1.2732256157323718,NFIA
28613,1.2674926137551665,LINC00632
7460,1.2617823681794107,PDZD2
960,1.2589701544493437,SGIP1
827,1.2576051391661167,RNF11
26597,1.2458230685442686,OLIG1
9594,1.231724419631064,PNISR
7350,1.231630336958915,TPPP
4434,1.228231665212661,DIS3L2
4205,1.2266879016533494,INO80D
227,1.2263378095813096,PRDM2
2050,1.2249771731439978,RABGAP1L
22646,1.2201956629287452,SRCIN1
2128,1.2123445137403905,RGL1
17049,1.2117028492502868,DIP2B
11485,1.2111013964749873,CSMD1
20224,1.2069484191015363,AVEN
15093,1.2016721311956644,RNF141
3953,1.193852037191391,UBR3
9431,1.1927822451107204,PHF3
2125,1.1870063981041312,SMG7
17710,1.1814448372460902,PEBP1
5256,1.1749208820983768,UBA3
28688,1.1675299797207117,LINC00894
3988,1.157734639942646,WIPF1
16244,1.15050013596192,ATM
18205,1.1337946392595768,RGCC
1082,1.1138652148656547,PKN2
6114,1.1127536920830607,LPP
4068,1.1102841943502426,FAM171B
18288,1.1095870879944414,ITM2B
10168,1.1092757359147072,GLCCI1
12523,1.1047459517139941,KDM4C
22922,1.1017075343988836,MAPT
20339,1.097493588924408,TTBK2
6686,1.088393787969835,ANKRD17
15272,1.0795753810089082,PRR5L
21745,1.0783281126059592,NFATC3
2859,1.0735474419780076,ATAD2B
27231,1.0701437192037702,FBXO7
7495,1.068523765541613,NIPBL
4116,1.0620941752567887,HECW2
22541,1.0547995249507949,NF1
8683,1.0436997537035495,CDKAL1
12911,1.0397117228712887,GNAQ
5975,1.0380802544532344,PLD1
2999,1.035528845153749,HEATR5B
22783,1.0333201952744275,EIF1
334,1.0275194711284712,EIF4G3
12964,1.0259058957453817,SPIN1
9514,1.0201315875165164,DOPEY1
2382,1.0183719228953123,RPS6KC1
20220,1.0140783730894327,FMN1
3819,1.0042766677743202,ZEB2
12361,1.0035961931571364,AGO2
19803,0.9931467424612492,MARK3
25932,0.9923895169049501,ASXL1
4603,0.9923581490293145,SETD5
4399,0.9920463061425835,TRIP12
28008,0.9890422951430082,ARHGEF9
18635,0.9885755114955828,DOCK9
7740,0.9874807875603437,TBCA
6817,0.985330028925091,PKD2
7997,0.983110876637511,RAPGEF6
18061,0.9823158751241863,PAN3
9040,0.9818288777023554,HSPA1B
18235,0.9814632097259164,TSC22D1
19526,0.971351564861834,SPTLC2
9220,0.9510718337260187,KIF6
16408,0.9423763221129775,SORL1
5434,0.9419279652647674,LINC00882
9488,0.9393169390968978,MYO6
16318,0.9348912698915228,CADM1
1117,0.9298170767724514,KIAA1107
7138,0.9286424871534109,LRBA
26297,0.9241201144177467,GNAS
26054,0.9160616751760244,KIAA1755
2347,0.913717171177268,SYT14
10925,0.9134165165014565,CUX1
8016,0.905317410826683,SEPT8
7975,0.9038520922185853,MEGF10
18227,0.9022015312220901,CCDC122
