index,value,name
18428,76.0896514840424,PCDH9
15794,69.07367386372061,MALAT1
27699,50.11797118186951,IL1RAPL1
7226,34.126830292865634,SPOCK3
28301,33.93006431404501,PLP1
15663,30.544146666303277,FTH1
28113,30.419261496514082,XIST
7156,21.94898246973753,TRIM2
13766,19.055301398038864,PIP4K2A
6972,18.27292601298541,ANK2
3069,17.018693923950195,CALM2
14052,17.013038313016295,ANK3
4257,16.732791418209672,ERBB4
11895,16.57851777318865,ST18
27714,13.870696039870381,DMD
726,13.537780927028507,RNF220
959,12.909533606376499,PDE4B
16549,11.982448959723115,NTM
6025,11.555897222831845,SOX2-OT
6542,11.336353712715209,FRYL
17430,11.207402808824554,TMTC2
9744,10.959254157263786,NKAIN2
7209,10.93129008403048,MARCH1
16519,10.821958523243666,KIRREL3
28444,10.139785355888307,LAMP2
13744,9.408256653696299,PLXDC2
820,9.182075068354607,FAF1
10703,8.271889779251069,MAGI2
3226,8.245137015357614,ZNF638
4107,8.072071894304827,TMEFF2
7425,7.697711182292551,FBXL7
12362,7.24026922788471,PTK2
20189,7.039920131210238,TJP1
15118,6.641404014080763,FAR1
11007,6.639443944208324,DOCK4
7627,6.10555371362716,ZSWIM6
18111,6.07862119236961,N4BP2L2
22793,6.049684151541442,CNP
19781,5.958347857929766,HSP90AA1
16325,5.7256803533528,SIK3
14623,5.6956537803635,KIAA1598
22517,5.599439579993486,SSH2
2015,5.5609018644317985,DNM3
18501,5.484122003428638,SLAIN1
7789,5.371925652958453,EDIL3
11632,5.305242989677936,DLC1
26307,5.168973996303976,PHACTR3
6580,5.125345824053511,TMEM165
5426,5.083237591665238,ALCAM
17427,4.900648728944361,PPFIA2
5497,4.876798665267415,ZBTB20
4429,4.826950474642217,PTMA
15379,4.807014495134354,FOLH1
998,4.774069951847196,NEGR1
7185,4.725405588746071,GRIA2
19140,4.681588911218569,NPAS3
5917,4.632491247728467,TRIM59
3855,4.5314328679814935,GALNT13
10174,4.489839946851134,PHF14
18617,4.48070610081777,MBNL2
20784,4.439095216803253,SH3GL3
10609,4.4321763552725315,AUTS2
7932,4.360645167529583,SEMA6A
829,4.350592442788184,EPS15
17521,4.302562939701602,ANKS1B
9039,4.234475936740637,HSPA1A
6975,4.179504988947883,UGT8
5099,4.176840599626303,DOCK3
14657,4.153640481643379,FGFR2
18189,4.1243692971765995,ELF1
27595,4.101140470942482,GPM6B
4049,4.07255559717305,PDE1A
3121,3.9179521622136235,VRK2
16580,3.8727889275178313,ADIPOR2
10350,3.850598111283034,SEPT7
13779,3.8505156822502613,PRTFDC1
1555,3.802690510638058,POGZ
22450,3.7514448054134846,WSB1
14476,3.6760034556500614,SCD
11660,3.60216725198552,PSD3
12527,3.5605779830366373,PTPRD
537,3.557518456829712,MARCKSL1
6796,3.556071669794619,MAPK10
21605,3.5312443277798593,GNAO1
132,3.5236685699783266,RERE
3230,3.504924006294459,EXOC6B
3868,3.495712112169713,ERMN
12563,3.4339073471492156,SLC24A2
1048,3.433466669404879,TTLL7
9406,3.3823315636254847,DST
15653,3.3716541528701782,MYRF
10968,3.2822141121141613,SRPK2
4397,3.2578069819137454,DNER
15106,3.2405281607061625,USP47
17694,3.189649200066924,MED13L
18674,2.955243513453752,NALCN
12904,2.883271554019302,PRUNE2
11141,2.8777602952905,MKLN1
6816,2.8709420887753367,SPP1
5505,2.8551122723147273,LSAMP
5265,2.819176947697997,FOXP1
2197,2.7992335641756654,MIR181A1HG
22632,2.7863444006070495,ACACA
12536,2.749535294249654,NFIB
26013,2.692231577821076,RBM39
19638,2.6901135495863855,CLMN
4830,2.6669372152537107,LRRFIP2
13814,2.6578877000138164,WAC
13034,2.623524657683447,C9orf3
19402,2.6003737815190107,PLEKHH1
16229,2.5805805260315537,GRIA4
3087,2.5760395298711956,NRXN1
9326,2.5758675993420184,RCAN2
17626,2.5655467603355646,C12orf76
7196,2.5506884660571814,RAPGEF2
23529,2.485257197637111,ANKRD12
11042,2.392708509694785,CTTNBP2
27299,2.321747560054064,POLR2F
14059,2.3193984860554338,ARID5B
28116,2.272333678556606,FTX
4376,2.271770455641672,DOCK10
3106,2.232019641203806,RTN4
5850,2.213758394587785,MBNL1
13884,2.212549354881048,ZNF33A
6501,2.1968113428447396,APBB2
12669,2.182615077123046,UBE2R2
3878,2.1812955736531876,PKP4
14281,2.174593399744481,GRID1
26479,2.1596085699857213,NCAM2
15088,2.1419471260160208,SBF2
3077,2.141750921495259,FBXO11
11352,2.1168508470000234,CNTNAP2
12975,2.086221022764221,SEMA4D
23513,2.0411956035532057,L3MBTL4
7770,2.037972261197865,RASGRF2
20477,2.035780391190201,ZNF280D
323,2.035624274984002,CAMK2N1
5990,2.0000110955443233,NAALADL2
13609,1.9901483692228794,ADARB2
23821,1.9528385309968144,PHLPP1
8067,1.948704987182282,SPOCK1
2234,1.936873635277152,ARL8A
2221,1.9274941105395555,CSRP1
2788,1.9073132798075676,YWHAQ
13244,1.8872297704219818,MEGF9
1099,1.8773076483048499,LRRC8D
23173,1.8735315049998462,DDX5
7975,1.8532441551797092,MEGF10
1959,1.8504477143287659,DCAF6
23666,1.8472766599152237,MAPRE2
11429,1.8452948867343366,KMT2C
5533,1.8451681500300765,GSK3B
6774,1.8410539121832699,SCD5
18635,1.821862391429022,DOCK9
22545,1.8137673437595367,EVI2A
6844,1.8119857413621503,UNC5C
27194,1.802214897237718,OSBP2
16844,1.7894404719118029,SLCO1A2
21325,1.720295665320009,SLC5A11
23624,1.711937241256237,SS18
7630,1.7107303198426962,KIF2A
23658,1.7081742896698415,GAREM
23589,1.7010950967669487,GREB1L
13104,1.7000563316978514,LPPR1
12523,1.6702272365801036,KDM4C
18402,1.652723969426006,TDRD3
