index,value,name
6429,22.845100410282612,KCNIP4
15794,18.478188630193472,MALAT1
10961,18.372852489352226,LHFPL3
15278,10.924455523490906,LRRC4C
11485,10.591687008738518,CSMD1
18428,8.473155677318573,PCDH9
4257,7.572846654802561,ERBB4
3087,7.465361580252647,NRXN1
27714,5.975782234221697,DMD
27699,5.695954989641905,IL1RAPL1
28113,5.377124335616827,XIST
5505,5.025345386937261,LSAMP
6025,4.658503248356283,SOX2-OT
7185,4.176520857959986,GRIA2
16106,4.003795645199716,GRM5
2059,3.8092605397105217,TNR
5211,3.65877678245306,PTPRG
7460,3.3612578315660357,PDZD2
16229,3.2829919401556253,GRIA4
16549,3.23223390430212,NTM
3855,3.226046372205019,GALNT13
19140,3.119685093872249,NPAS3
21199,3.00779134221375,SHISA9
7209,2.9843203658238053,MARCH1
12943,2.5161993242800236,NTRK2
10174,2.4377123825252056,PHF14
7627,2.256361098960042,ZSWIM6
11054,2.2291282135993242,PTPRZ1
7265,2.217302780598402,GPM6A
12536,2.1733016753569245,NFIB
14031,2.1633840491995215,PCDH15
17521,2.095306769479066,ANKS1B
16859,1.9505786998197436,SOX5
998,1.9240980632603168,NEGR1
5695,1.9099942278116941,TMEM108
6972,1.8987884381785989,ANK2
3031,1.8978961212560534,SLC8A1
7226,1.828800605610013,SPOCK3
959,1.8077975092455745,PDE4B
3069,1.7938174195587635,CALM2
18676,1.724319531582296,FGF14
13104,1.7217864450067282,LPPR1
6796,1.5586605863645673,MAPK10
2223,1.5518085779622197,NAV1
6127,1.540951686911285,IL1RAP
5210,1.4741548921447247,FHIT
27548,1.4622853598557413,NLGN4X
7614,1.4524307292886078,PDE4D
228,1.4493978945538402,KAZN
18712,1.4490795275196433,FAM155A
18585,1.3988705109804869,GPC6
11007,1.371667493134737,DOCK4
9444,1.3062810264527798,COL9A1
12527,1.294189494336024,PTPRD
23623,1.2600795719772577,ZNF521
7220,1.2403361722826958,CPE
26597,1.210767436772585,OLIG1
27128,1.1935318899340928,SEZ6L
14052,1.182445777580142,ANK3
10703,1.1802624403499067,MAGI2
19198,1.1261051474139094,LRFN5
4397,1.1211679736152291,DNER
10168,1.0974127054214478,GLCCI1
11660,1.0930284881033003,PSD3
13235,1.0820926129817963,ASTN2
1959,1.062215119600296,DCAF6
14558,1.0553513756021857,SORCS1
6135,1.0436542392708361,FGF12
21242,0.9591990448534489,XYLT1
6835,0.9463179809972644,GRID2
2633,0.9461705242283642,RGS7
20189,0.9038664354011416,TJP1
5426,0.9014734523370862,ALCAM
26479,0.8901482187211514,NCAM2
11042,0.8729700488038361,CTTNBP2
4589,0.8206197433173656,GRM7
15663,0.8066302072256804,FTH1
16233,0.8032464599236846,GUCY1A2
820,0.7955112364143133,FAF1
13744,0.7926568649709225,PLXDC2
7932,0.7845283355563879,SEMA6A
7880,0.7718560206703842,FBXL17
16551,0.7665925193578005,OPCML
3226,0.7481027394533157,ZNF638
20255,0.7397664808668196,MEIS2
23664,0.708337115123868,NOL4
20478,0.7067146338522434,TCF12
12214,0.7054295004345477,ZFPM2
2015,0.7040536887943745,DNM3
17427,0.6920384620316327,PPFIA2
4484,0.6806307872757316,AGAP1
5988,0.6745622023008764,NLGN1
6114,0.671823572833091,LPP
13609,0.666863196529448,ADARB2
26080,0.6600132519379258,ZHX3
26307,0.6562484176829457,PHACTR3
16325,0.6556835705414414,SIK3
6833,0.6549997124820948,CCSER1
5533,0.6483219903893769,GSK3B
13779,0.6351479310542345,PRTFDC1
23693,0.6300679491832852,RIT2
9604,0.6296666604466736,ASCC3
11141,0.6206227540969849,MKLN1
23201,0.6202330673113465,PITPNC1
17416,0.6141767981462181,PPP1R12A
7425,0.6102462378330529,FBXL7
6005,0.6051684245467186,KCNMB2
18235,0.593297524843365,TSC22D1
3077,0.5927829639986157,FBXO11
3925,0.5726761375553906,SCN1A
28406,0.570520780980587,KLHL13
5837,0.5683521940372884,MED12L
5265,0.5557558760046959,FOXP1
15203,0.5544408111600205,LUZP2
1099,0.5519461249932647,LRRC8D
9719,0.5322933066636324,CEP85L
11984,0.5288518315646797,PREX2
2233,0.5273180175572634,GPR37L1
7156,0.5248613031581044,TRIM2
23793,0.5227168211713433,ZNF532
1010,0.5139182209968567,SLC44A5
558,0.5120996441692114,PHC2
4812,0.5112366182729602,CLASP2
2186,0.5067376000806689,CRB1
25862,0.5066853831522167,CST3
11892,0.5003924448974431,SNTG1
12362,0.4927408220246434,PTK2
20477,0.49151711165905,ZNF280D
960,0.4871409754268825,SGIP1
10024,0.48428796883672476,QKI
26013,0.4816329851746559,RBM39
23773,0.4783323642332107,TCF4
8214,0.4723461002577096,KCTD16
23624,0.46983324363827705,SS18
22541,0.46660669916309416,NF1
132,0.4662071510683745,RERE
23513,0.46618044190108776,L3MBTL4
23594,0.4626581631600857,MIB1
27746,0.46219109557569027,TSPAN7
7735,0.46187624894082546,PDE8B
13814,0.45951807498931885,WAC
26595,0.45327282324433327,OLIG2
7196,0.4519852101802826,RAPGEF2
10413,0.4517071098089218,HECW1
3786,0.4475217815488577,TMEM163
10673,0.4414578038267791,HIP1
12917,0.4394122129306197,TLE4
4060,0.43910499569028616,ZNF804A
22632,0.43775774352252483,ACACA
2197,0.4357487461529672,MIR181A1HG
17838,0.43409693939611316,TMEM132C
18111,0.4325168523937464,N4BP2L2
23635,0.43135263910517097,CHST9
5099,0.42508047609589994,DOCK3
25748,0.4229912254959345,PLCB4
924,0.4170765185263008,NFIA
1104,0.4162389859557152,ZNF644
28008,0.4138745404779911,ARHGEF9
8661,0.4121498081367463,ATXN1
23886,0.4053320549428463,ATP9B
1368,0.40001501981168985,MAN1A2
14555,0.39345005457289517,SORCS3
5765,0.39305935241281986,ZBTB38
9594,0.38742398796603084,PNISR
11429,0.382985349977389,KMT2C
2206,0.3804943966679275,CAMSAP2
4603,0.38009385066106915,SETD5
19107,0.37667022785171866,STXBP6
549,0.3753751777112484,S100PBP
11208,0.37379154143854976,BRAF
18501,0.36204876378178596,SLAIN1
8303,0.3597685741260648,GRIA1
18674,0.35808463813737035,NALCN
5763,0.35750969871878624,SLC25A36
6686,0.3573676806408912,ANKRD17
28613,0.3573101768270135,LINC00632
7145,0.35726089985109866,SH3D19
26297,0.3565028985030949,GNAS
5850,0.3550235549919307,MBNL1
17378,0.354778197593987,RAB3IP
10714,0.35417437460273504,CACNA2D1
18617,0.35415273113176227,MBNL2
2050,0.3488002405501902,RABGAP1L
6973,0.3476509074680507,CAMK2D
5990,0.34740120405331254,NAALADL2
4131,0.34667834313586354,RFTN2
7821,0.3461444145068526,FAM172A
13766,0.34529589023441076,PIP4K2A
20257,0.34452022751793265,SPRED1
2859,0.3434695899486542,ATAD2B
12488,0.3434073426760733,RFX3
15118,0.34175451565533876,FAR1
4068,0.33847386576235294,FAM171B
2775,0.33482087636366487,RNF144A
334,0.3335544334258884,EIF4G3
10395,0.32934346958063543,POU6F2
11994,0.3238960672169924,NCOA2
17348,0.3221203526481986,GRIP1
7789,0.31798667449038476,EDIL3
27570,0.3178469482809305,MID1
15264,0.3118817270733416,SLC1A2
1925,0.30939482850953937,PBX1
4070,0.3087567496113479,CALCRL
3148,0.3077586032450199,EHBP1
23529,0.30541486479341984,ANKRD12
7449,0.3043344219913706,CDH10
9406,0.30253156111575663,DST
1934,0.30104516074061394,FAM78B
28115,0.30020539462566376,JPX
7754,0.29940573778003454,CMYA5
123,0.297130913939327,CAMTA1
2175,0.2950315426569432,KCNT2
7630,0.29278893722221255,KIF2A
22517,0.292364695109427,SSH2
4184,0.2894138228148222,BMPR2
7915,0.2863847054541111,KCNN2
7495,0.28429353004321456,NIPBL
7138,0.2839988253545016,LRBA
4572,0.28192613390274346,LRRN1
4652,0.2814767104573548,SYN2
4249,0.2790559083223343,UNC80
988,0.27618075674399734,SRSF11
4450,0.2759337592869997,GIGYF2
2958,0.2756174113601446,CLIP4
7307,0.2749680168926716,SORBS2
9769,0.2667476977221668,PTPRK
3987,0.2645399640314281,GPR155
7940,0.2643216443248093,DMXL1
1929,0.2622482143342495,MGST3
9455,0.2613627859391272,RIMS1
27350,0.2601615050807595,TNRC6B
6458,0.26007652934640646,ARAP2
4755,0.2592174243181944,TOP2B
3639,0.2578339483588934,TTL
23173,0.2566503391135484,DDX5
22564,0.25647611171007156,ZNF207
2999,0.2556205075234175,HEATR5B
5458,0.2531674252822995,PVRL3
3920,0.25308470078743994,SCN2A
9431,0.25217973813414574,PHF3
9510,0.25201834086328745,IBTK
16318,0.25118510448373854,CADM1
13846,0.25090684834867716,EPC1
7642,0.2507458641193807,ADAMTS6
20234,0.2507119164802134,GOLGA8A
18288,0.24996793060563505,ITM2B
3563,0.24832846852950752,MAP4K4
2788,0.24690000712871552,YWHAQ
8204,0.24612099770456553,SPRY4
23858,0.24579607276245952,NETO1
2779,0.2456313529983163,KIDINS220
4205,0.2442142297513783,INO80D
12523,0.2435890210326761,KDM4C
11632,0.2413560647983104,DLC1
17533,0.2407048223540187,ANO4
10020,0.23989325866568834,PARK2
12873,0.2373081762343645,TRPM3
2125,0.2372324289754033,SMG7
28480,0.23675209050998092,TENM1
27194,0.23411034606397152,OSBP2
27572,0.23393896408379078,ARHGAP6
23874,0.2339106360450387,ZNF516
27468,0.23290360905230045,TBC1D22A
9514,0.2317091040313244,DOPEY1
21126,0.23130118288099766,CREBBP
12192,0.2281191188376397,UBR5
7805,0.22337329713627696,MEF2C
8067,0.2209160695783794,SPOCK1
3991,0.22029845928773284,CHN1
7414,0.2199997550342232,TRIO
12491,0.21936508733779192,SLC1A1
14366,0.21932712942361832,EXOC6
19803,0.21911093406379223,MARK3
2382,0.21831956133246422,RPS6KC1
2193,0.21809681504964828,NEK7
8683,0.21637548180297017,CDKAL1
19606,0.2155672824010253,BTBD7
19650,0.21451258333399892,ATG2B
3953,0.21241796831600368,UBR3
20209,0.21165840001776814,OTUD7A
5999,0.2108992920257151,TBL1XR1
2347,0.21018993481993675,SYT14
18206,0.20957400929182768,VWA8
5767,0.20926156593486667,RASA2
16575,0.20907036680728197,ERC1
6809,0.20889572985470295,SPARCL1
7121,0.20801748475059867,ZNF827
25765,0.2047047521919012,BTBD3
14059,0.2041615666821599,ARID5B
19389,0.20410920167341828,FUT8
16408,0.20315212476998568,SORL1
19283,0.20185051835142076,SAMD4A
15979,0.20061377878300846,FCHSD2
7652,0.20046417275443673,MAST4
12012,0.19997110404074192,STAU2
7905,0.19820355344563723,APC
3976,0.19783829571679235,RAPGEF4
1555,0.19695961056277156,POGZ
1082,0.19695569248870015,PKN2
19565,0.1956219128333032,FOXN3
6817,0.194852709537372,PKD2
15195,0.1945465002208948,ANO5
19781,0.19416684284806252,HSP90AA1
7092,0.1938811974832788,RNF150
5174,0.19307201844640076,CACNA2D3
13034,0.1928707999177277,C9orf3
533,0.19253598526120186,MTMR9LP
3750,0.19210696639493108,ARHGEF4
16036,0.19041280401870608,C11orf30
10403,0.18986521963961422,CDK13
18402,0.18895240128040314,TDRD3
537,0.18892372027039528,MARCKSL1
636,0.18706257396843284,MACF1
10238,0.18687901459634304,NUPL2
22922,0.1859260257333517,MAPT
18125,0.185525706037879,NBEA
3230,0.18495381670072675,EXOC6B
905,0.18381012044847012,PPAP2B
6534,0.18306673970073462,NFXL1
27231,0.18277152115479112,FBXO7
24634,0.18256121827289462,URI1
20903,0.1810357552021742,LRRC28
1958,0.18068477138876915,MPC2
21605,0.180534559302032,GNAO1
16071,0.18013244029134512,RAB30
2773,0.17971909046173096,RSAD2
3063,0.17856983467936516,PIGF
22450,0.1783829255728051,WSB1
6774,0.17830162006430328,SCD5
18030,0.17779577616602182,CDK8
3045,0.17577667708974332,PLEKHH2
22241,0.17465312080457807,NTN1
20339,0.1745862173847854,TTBK2
18061,0.17413931037299335,PAN3
28134,0.17388782231137156,KIAA2022
23030,0.17308443854562938,LUC7L3
2821,0.1725285619031638,NBAS
20585,0.1718373391777277,SMAD3
12879,0.16922102961689234,C9orf85
9328,0.1676572640426457,SLC25A27
8641,0.16762858745642006,PHACTR1
13884,0.16725689731538296,ZNF33A
28444,0.16452496871352196,LAMP2
2439,0.1631483598612249,SUSD4
4642,0.16271054185926914,SLC6A1
17694,0.16236095083877444,MED13L
10483,0.16215999913401902,VWC2
5183,0.16158703062683344,CCDC66
4107,0.1604324720101431,TMEFF2
12615,0.15954929473809898,TEK
12878,0.15900968760252,ABHD17B
14276,0.15896076033823192,CCSER2
11819,0.15806109178811312,WHSC1L1
4154,0.15736673399806023,FAM126B
9333,0.15621076989918947,TNFRSF21
4411,0.1561598815023899,ITM2C
23710,0.15567449340596795,PIAS2
2123,0.1523427153006196,NMNAT2
7240,0.15229997620917857,CLCN3
12964,0.15127845341339707,SPIN1
13244,0.1510893371887505,MEGF9
11453,0.15091788209974766,LMBR1
22940,0.1505531440488994,CDC27
4429,0.15039452631026506,PTMA
27654,0.1497139842249453,CNKSR2
3988,0.149545235093683,WIPF1
5488,0.14866728521883488,ATP6V1A
6930,0.14857281651347876,SEC24B
23488,0.14807585068047047,SMCHD1
10699,0.1474189618602395,PTPN12
19303,0.1472939606755972,TMEM260
16062,0.1472825810778886,GAB2
11194,0.14682334987446666,HIPK2
18635,0.14677185483742505,DOCK9
5639,0.146341344807297,RAB7A
3104,0.14453435642644763,EML6
19268,0.14393841614946723,GPR137C
21544,0.14390625851228833,ITFG1
3139,0.14376937597990036,XPO1
7232,0.14333949913270772,PALLD
5833,0.14262558706104755,SELT
25338,0.14239486306905746,ZNF83
21590,0.14223472017329186,FTO
9488,0.1422319165430963,MYO6
5780,0.14211363741196692,TRPC1
4722,0.14179693860933185,RAB5A
12669,0.1406995877623558,UBE2R2
20617,0.14061981299892068,LRRC49
23768,0.13866962539032102,RAB27B
20246,0.1384212733246386,DPH6
14147,0.13794632069766521,PSAP
7897,0.13760902546346188,NREP
5760,0.1373277585953474,CLSTN2
21745,0.13707637786865234,NFATC3
14066,0.13694321749790106,JMJD1C
24222,0.13673725351691246,COL5A3
198,0.1366923968307674,VPS13D
12563,0.13625665078870952,SLC24A2
10925,0.13594488566741347,CUX1
4434,0.13529662368819118,DIS3L2
9326,0.13521261513233185,RCAN2
4247,0.13501177815487608,MAP2
3669,0.134754586906638,DPP10
10350,0.1346700405701995,SEPT7
11118,0.13452816125936806,NRF1
3686,0.1342669001314789,PTPN4
14666,0.13408127089496702,HTRA1
16189,0.1340602656127885,ARHGAP42
7775,0.13391133956611156,SSBP2
18741,0.1336496698204428,ARHGEF7
4399,0.13345030532218516,TRIP12
1998,0.13243319012690336,PRRX1
27568,0.1324070282280445,WWC3
12361,0.1316630281507969,AGO2
11183,0.13157890224829316,KIAA1549
4376,0.1308198337792419,DOCK10
27229,0.13063249178230762,RTCB
3791,0.13059663074091077,RAB3GAP1
26362,0.13051720755174756,COL20A1
23872,0.1304896438959986,TSHZ1
7161,0.13033843599259853,RNF175
8016,0.12999865133315325,SEPT8
227,0.1299615129828453,PRDM2
23131,0.1297939158976078,MED13
18523,0.12964890617877245,NDFIP2
27414,0.12832066230475903,ARFGAP3
4715,0.1278893815469928,TBC1D5
19164,0.12765342299826443,RALGAPA1
27767,0.127550570119638,CASK
20763,0.12716022972017527,EFTUD1
25824,0.12594292929861695,RIN2
4252,0.12493254570290446,KANSL1L
9302,0.12395961163565516,VEGFA
7045,0.12288765329867601,C4orf29
5248,0.12280022562481463,FAM19A1
11825,0.12271863408386707,TACC1
21164,0.12235492933541536,USP7
4830,0.1220809849910438,LRRFIP2
7548,0.12192206922918558,NNT
14173,0.12182180071249604,PPP3CB
4545,0.12045143591240048,FARP2
12241,0.11997595604043454,TRPS1
20218,0.11976343486458063,SCG5
8397,0.11929435608908534,FBXW11
7605,0.11877435119822621,GPBP1
20728,0.1186275128275156,IREB2
11113,0.11839529871940613,AHCYL2
12909,0.1183378454297781,VPS13A
26237,0.11813189508393407,ATP9A
8306,0.11780525837093592,GALNT10
7530,0.11771569680422544,OXCT1
28671,0.11706676241010427,AFF2
5246,0.11647691763937473,SUCLG2
19561,0.11628595506772399,ZC3H14
268,0.1161489225924015,CROCCP2
10349,0.11614407692104578,HERPUD2
24769,0.11577017977833748,ZNF585B
26064,0.1148763308301568,RALGAPB
4026,0.11451290431432426,OSBPL6
3191,0.11450605536811054,AAK1
10871,0.11426319321617484,GATS
18687,0.113454544916749,TPP2
5256,0.11309696082025766,UBA3
4599,0.11281748372130096,SRGAP3
23763,0.11231570318341255,POLI
4415,0.111357725225389,C2orf72
27145,0.11088454036507756,TTC28
15106,0.11076583131216466,USP47
1048,0.11071810079738498,TTLL7
8039,0.11035546381026506,SEC24A
7997,0.1096368016442284,RAPGEF6
22605,0.10946969967335463,TAF15
577,0.10894579091109335,SFPQ
23652,0.10846436163410544,TRAPPC8
8232,0.10846151411533356,JAKMIP2
6831,0.10821546264924109,SNCA
7651,0.1080009953584522,SREK1
9592,0.10777743998914957,FAXC
27250,0.10762038209941238,RBFOX2
4777,0.10715823341161013,RBMS3
16244,0.10684142541140318,ATM
3700,0.10677168052643538,CNTNAP5
995,0.1065582693554461,ZRANB2
17413,0.105337371584028,SYT1
25775,0.10513494976476068,MACROD2
14566,0.10481522476766258,ADD3
10472,0.10468303598463535,TNS3
10418,0.10429315827786922,COA1
18189,0.1042521633207798,ELF1
