index,value,name
14031,46.22074942290783,PCDH15
18428,39.51371595263481,PCDH9
11485,35.13280203938484,CSMD1
15794,31.166833862662315,MALAT1
3087,18.76501725614071,NRXN1
10961,18.35535989701748,LHFPL3
4257,13.887723334133625,ERBB4
27699,12.298729881644249,IL1RAPL1
5505,9.37093610689044,LSAMP
26479,9.324418283998966,NCAM2
11054,7.994329117238522,PTPRZ1
27714,7.216345578432083,DMD
18676,6.858268612995744,FGF14
16229,6.622954187914729,GRIA4
28113,6.320515640079975,XIST
14214,6.219167225062847,KCNMA1
6429,6.179171593859792,KCNIP4
19213,5.915218610316515,MDGA2
21242,5.7697134632617235,XYLT1
5211,5.667312091216445,PTPRG
15278,5.280694792512804,LRRC4C
7209,5.247340229339898,MARCH1
5695,5.245347071439028,TMEM108
28116,5.092001907527447,FTX
25746,5.0690657794475555,PLCB1
6796,5.064298778772354,MAPK10
228,4.869937834329903,KAZN
2059,4.698418200016022,TNR
7460,4.651302244514227,PDZD2
4560,4.475673500448465,CHL1
16859,4.408436566591263,SOX5
998,4.383251193910837,NEGR1
18712,4.286874048411846,FAM155A
16549,4.096424017101526,NTM
13235,3.894743712618947,ASTN2
6135,3.8833750933408737,FGF12
17427,3.80569576472044,PPFIA2
5426,3.7936729583889246,ALCAM
7627,3.5456129983067513,ZSWIM6
7411,3.446347188204527,CTNND2
11636,3.4096962031908333,SGCZ
16297,3.385018166154623,NCAM1
6774,3.3167224815115333,SCD5
7226,3.303269473835826,SPOCK3
5497,3.238189171999693,ZBTB20
12527,3.2262627333402634,PTPRD
19140,3.123769356869161,NPAS3
6025,3.050863766577095,SOX2-OT
16106,2.9254834270104766,GRM5
7185,2.843295658007264,GRIA2
3855,2.798706730827689,GALNT13
11947,2.79390174895525,NKAIN3
6114,2.755898242816329,LPP
7425,2.6396618708968163,FBXL7
13104,2.5304605374112725,LPPR1
11007,2.3988458439707756,DOCK4
12536,2.3792075905948877,NFIB
4719,2.3525529820472,KCNH8
4812,2.285715678706765,CLASP2
2223,2.2854024432599545,NAV1
10998,2.252555036917329,NRCAM
2633,2.226196626201272,RGS7
21199,2.2239204412326217,SHISA9
9406,2.1404058570042253,DST
5990,2.1126584094017744,NAALADL2
959,2.076656953897327,PDE4B
15182,2.041697610169649,NAV2
25862,2.0414431244134903,CST3
15663,1.9905698411166668,FTH1
901,1.9442896358668804,USP24
16233,1.9320129938423634,GUCY1A2
19198,1.8815132323652506,LRFN5
4249,1.872683571651578,UNC80
3226,1.8659418793395162,ZNF638
10609,1.7490582019090652,AUTS2
3669,1.7125895284116268,DPP10
4397,1.6801615180447698,DNER
820,1.6647399868816137,FAF1
14066,1.6550118699669838,JMJD1C
14276,1.6470891442149878,CCSER2
23821,1.6173659330233932,PHLPP1
27128,1.56582869309932,SEZ6L
132,1.5634421957656741,RERE
10714,1.5485876556485891,CACNA2D1
3111,1.4922591727226973,CCDC88A
9444,1.4780122311785817,COL9A1
4703,1.4709122823551297,ANKRD28
9719,1.4354548566043377,CEP85L
7441,1.41798728518188,CDH18
11910,1.3426135666668415,XKR4
18501,1.3414156399667263,SLAIN1
10174,1.3332491982728243,PHF14
