index,value,name
18428,145.53061414510012,PCDH9
15794,65.51374225746258,MALAT1
28301,62.77210942003876,PLP1
28113,48.95073229819536,XIST
15663,45.476851945742965,FTH1
959,43.82521790359169,PDE4B
7226,39.806507147848606,SPOCK3
6972,39.235991917550564,ANK2
11895,35.3728898903355,ST18
16519,27.01528614386916,KIRREL3
23821,20.57821260392666,PHLPP1
7209,19.41858694050461,MARCH1
5497,18.5518178679049,ZBTB20
5426,18.517679028213024,ALCAM
13766,18.34008051175624,PIP4K2A
7789,17.03295780112967,EDIL3
7156,16.828911777585745,TRIM2
17430,16.813678180333227,TMTC2
12527,16.644464081618935,PTPRD
27699,16.495284128934145,IL1RAPL1
10609,14.147649269551039,AUTS2
19140,13.606045282445848,NPAS3
4257,13.489982892759144,ERBB4
15379,13.013785254210234,FOLH1
20371,11.216048259753734,FRMD5
13744,11.071905909106135,PLXDC2
28116,11.062463148497045,FTX
15118,10.9306048899889,FAR1
15653,10.375911477953196,MYRF
9744,10.129848499782383,NKAIN2
10024,9.795566591521492,QKI
17521,9.769661305006593,ANKS1B
7425,9.612422669306397,FBXL7
18617,9.071750083006918,MBNL2
10714,8.958068117965013,CACNA2D1
16549,8.766729321796447,NTM
18501,8.686301793437451,SLAIN1
18111,8.60377584118396,N4BP2L2
20871,8.311633244156837,SLCO3A1
7627,7.680856600869447,ZSWIM6
22793,7.599375096615404,CNP
14657,7.437173794023693,FGFR2
27714,7.005909716710448,DMD
4715,6.622046724427491,TBC1D5
5099,6.53547144215554,DOCK3
20189,6.330856003332883,TJP1
1048,6.2245542604941875,TTLL7
15106,6.168464181013405,USP47
3069,5.926461534574628,CALM2
16297,5.915627816691995,NCAM1
16229,5.63556270301342,GRIA4
11007,5.560550037305802,DOCK4
132,5.4873898308724165,RERE
3230,5.4735989253968,EXOC6B
11717,5.463869963772595,DOCK5
4107,5.386538874125108,TMEFF2
3106,5.385666311020032,RTN4
16580,5.313517205417156,ADIPOR2
5505,5.269106660620309,LSAMP
22567,5.256691523827612,MYO1D
3868,5.187818421982229,ERMN
924,5.115731006488204,NFIA
6975,5.086708177346736,UGT8
10703,5.056209322763607,MAGI2
14281,5.0346049489453435,GRID1
27194,4.953791670501232,OSBP2
998,4.921590788289905,NEGR1
10350,4.8545926657970995,SEPT7
6025,4.830912884324789,SOX2-OT
16062,4.686170962639153,GAB2
14174,4.684857554733753,USP54
28444,4.55914107337594,LAMP2
6580,4.5297132190316916,TMEM165
27299,4.47362432256341,POLR2F
19402,4.424162878189236,PLEKHH1
8067,4.419524129712954,SPOCK1
12904,4.404923759866506,PRUNE2
3226,4.399962425697595,ZNF638
18189,4.367280386388302,ELF1
18635,4.307961938204244,DOCK9
12911,4.307821350637823,GNAQ
17626,4.276888761669397,C12orf76
7932,4.254191501997411,SEMA6A
14078,4.108760242233984,CTNNA3
4875,4.062943747645477,MOBP
5238,3.9838831266388297,MAGI1
6542,3.953978662902955,FRYL
28115,3.9325490053743124,JPX
16088,3.896446520462632,PICALM
27231,3.6970049776136875,FBXO7
8683,3.6887377314269543,CDKAL1
10968,3.670230553019792,SRPK2
10174,3.647829884663224,PHF14
16277,3.625774508807808,CRYAB
9039,3.617788629606366,HSPA1A
13701,3.5542395054362714,FAM107B
7185,3.5001897057518363,GRIA2
10323,3.455758958007209,PDE1C
5990,3.4452967434190214,NAALADL2
9845,3.440251059131697,MAP7
17694,3.427765775937587,MED13L
24733,3.4117466728203,APLP1
18169,3.3680565152317286,NHLRC3
1022,3.327613402623683,AK5
3087,3.279214257141575,NRXN1
11660,3.2763217575848103,PSD3
1751,3.240276896394789,HAPLN2
9406,3.2340017866226844,DST
4049,3.2089111981913447,PDE1A
3121,3.2073557605035603,VRK2
4830,3.1876297825947404,LRRFIP2
8887,3.1717354683205485,MOG
7411,3.134721977170557,CTNND2
22545,3.125126237049699,EVI2A
23589,3.122097929008305,GREB1L
19781,3.1023599826730788,HSP90AA1
19638,3.0814914307557046,CLMN
18288,3.0777548076584935,ITM2B
988,3.0737714944407344,SRSF11
1159,3.059136268682778,PTBP2
5203,2.9921001065522432,PXK
26479,2.991251425817609,NCAM2
5988,2.9475074629299343,NLGN1
9974,2.935390228172764,ARID1B
3111,2.8913297976832837,CCDC88A
14066,2.8286327430978417,JMJD1C
334,2.8142424838151783,EIF4G3
522,2.779886002652347,PTP4A2
7838,2.7631946178153157,ELL2
6816,2.761571685783565,SPP1
23624,2.74304801505059,SS18
12669,2.72024829685688,UBE2R2
11194,2.69766293768771,HIPK2
17427,2.6555518279783428,PPFIA2
3855,2.6236912577878684,GALNT13
6519,2.61851107259281,KCTD8
7196,2.618326132185757,RAPGEF2
6458,2.588660879759118,ARAP2
3953,2.58106607850641,UBR3
15182,2.5560089256614447,NAV2
12975,2.541782254818827,SEMA4D
22458,2.508574672508985,NLK
1099,2.506246790289879,LRRC8D
6796,2.501699673011899,MAPK10
11208,2.4842315884307027,BRAF
4397,2.48188165621832,DNER
123,2.4461733461357653,CAMTA1
11429,2.4445158853195608,KMT2C
23100,2.4372080201283097,YPEL2
323,2.4113948894664645,CAMK2N1
15047,2.3887609597295523,SYT9
20800,2.3628339926945046,PDE8A
4450,2.3424217235296965,GIGYF2
23030,2.3294378705322742,LUC7L3
4116,2.3171524070203304,HECW2
13550,2.2136148206191137,PTGDS
9510,2.2077503241598606,IBTK
9326,2.20592288300395,RCAN2
18674,2.1905433216597885,NALCN
7188,2.174017513219951,TMEM144
28672,2.139292676001787,IDS
26307,2.1330850813537836,PHACTR3
23773,2.120236450340599,TCF4
21669,2.114293306134641,CDH8
12879,2.101990851573646,C9orf85
11651,2.09891963028349,MTUS1
16491,2.0918067237362266,HEPN1
7110,2.0857540506403893,HHIP
25161,2.084801553748548,FTL
19394,2.059282887377776,GPHN
7880,2.0533985788933933,FBXL17
14566,2.031020585913211,ADD3
26054,2.0059628132730722,KIAA1755
2197,1.9914288164582103,MIR181A1HG
13779,1.9903280939906836,PRTFDC1
12362,1.9616405055858195,PTK2
16518,1.9468465745449066,ST3GAL4
13177,1.9294480250682682,LPAR1
3696,1.9255632632412016,CLASP1
15093,1.885315639898181,RNF141
13254,1.8836267499718815,GSN
20255,1.8808870152570307,MEIS2
11984,1.875792427919805,PREX2
4703,1.8676784913986921,ANKRD28
9985,1.8651459401007742,TULP4
12331,1.8447656375356019,FAM49B
17622,1.8341764621436596,GLTP
820,1.8138022359926254,FAF1
17744,1.8104237234219909,DYNLL1
17710,1.8045168276876211,PEBP1
14387,1.7851049373857677,TBC1D12
7975,1.7769886662717909,MEGF10
7614,1.7642331984825432,PDE4D
7886,1.7589695644564927,MAN2A1
16318,1.7573185870423913,CADM1
23666,1.7561518165748566,MAPRE2
22003,1.7505792202427983,YWHAE
24637,1.7493784840917215,ZNF536
3988,1.7327155801467597,WIPF1
2885,1.7319427006877959,DTNB
23841,1.720280438195914,CDH19
27444,1.7143716919235885,KIAA0930
23369,1.712978980038315,CYTH1
10673,1.702974011655897,HIP1
15091,1.6887693125754595,AMPD3
23131,1.659654381684959,MED13
4138,1.6481931181624532,FTCDNL1
1959,1.6443023271858692,DCAF6
16241,1.6351395230740309,CUL5
21544,1.6182911354117095,ITFG1
4205,1.6141512459143996,INO80D
11573,1.6139329359866679,TNKS
12111,1.6046798864845186,NECAB1
3828,1.5953525211662054,MBD5
27570,1.5890874415636063,MID1
14059,1.57592748478055,ARID5B
26498,1.5650751837529242,APP
18227,1.5648294501006603,CCDC122
5765,1.5632512960582972,ZBTB38
12564,1.5436315727420151,MLLT3
20906,1.5389970298856497,MEF2A
19268,1.528683521784842,GPR137C
11075,1.5242886787746102,GPR37
5700,1.5238066211459227,TF
10020,1.5150282988324761,PARK2
11825,1.5103335096500814,TACC1
25113,1.5092284567654133,SEPW1
13448,1.5032764924690127,RALGDS
22632,1.5004463833756745,ACACA
26071,1.4932473390363157,PPP1R16B
14476,1.4920583127532154,SCD
20606,1.4873597472906113,GLCE
5384,1.4736074424581602,CLDND1
17049,1.4684601686021779,DIP2B
24581,1.4658089922741055,ZNF708
2775,1.4626641392242163,RNF144A
22564,1.4545548013411462,ZNF207
17416,1.4539288287051022,PPP1R12A
9366,1.4377932499628514,PAQR8
12536,1.4307882958091795,NFIB
28348,1.4214481270173565,COL4A5
4603,1.4101212983950973,SETD5
6114,1.38441008515656,LPP
1104,1.3840264920145273,ZNF644
7145,1.3810487993760034,SH3D19
10243,1.3639085963368416,TRA2A
11485,1.3542797188274562,CSMD1
7075,1.35236434196122,ELF2
11042,1.3423036478925496,CTTNBP2
3842,1.3353889235295355,RIF1
6673,1.3348923013545573,RUFY3
9211,1.3330429061315954,BTBD9
23561,1.3203249999787658,LDLRAD4
17451,1.3168567130342126,POC1B
21325,1.2907025933964178,SLC5A11
2125,1.2891816520132124,SMG7
7508,1.2880916087888181,LIFR
5183,1.2814185810275376,CCDC66
537,1.2757396318484098,MARCKSL1
28151,1.2741444683633745,ATRX
228,1.2713087718002498,KAZN
26013,1.2691805195063353,RBM39
809,1.269009119598195,SPATA6
4009,1.26885933149606,MTX2
11632,1.2532768704695627,DLC1
12031,1.253212258219719,ZFHX4
2480,1.2505587135674432,CDC42BPA
3122,1.2501551611348987,FANCL
28688,1.2337908577173948,LINC00894
6774,1.231082171201706,SCD5
19303,1.2305015344172716,TMEM260
25932,1.2287813047878444,ASXL1
11005,1.228258497081697,IMMP2L
15213,1.2189396219328046,BDNF-AS
18402,1.2098215986043215,TDRD3
23529,1.209157522302121,ANKRD12
12043,1.2016569669358432,TPD52
7495,1.191347836283967,NIPBL
14147,1.1906079920008779,PSAP
4755,1.189587761182338,TOP2B
2821,1.1828171745873988,NBAS
10712,1.1790879261679947,SEMA3C
22036,1.1698000181932002,PAFAH1B1
21126,1.1681261640042067,CREBBP
5273,1.1634947912534699,RYBP
10394,1.1632747878320515,VPS41
13846,1.1573373931460083,EPC1
14659,1.147316915448755,ATE1
14276,1.1445390256121755,CCSER2
13884,1.1390043944120407,ZNF33A
19299,1.1375301484949887,KTN1
15220,1.1340842940844595,METTL15
22528,1.1311070183292031,CPD
2859,1.1288172099739313,ATAD2B
5261,1.115207051159814,MITF
6824,1.1079277717508376,HERC3
22568,1.1055433489382267,TMEM98
14648,1.1040190691128373,TIAL1
21260,1.0986181497573853,CCP110
7940,1.0946408903691918,DMXL1
19565,1.0944745372980833,FOXN3
10708,1.0865248679183424,GNAI1
7538,1.0768988016061485,SEPP1
558,1.0748546263203025,PHC2
23116,1.0736405961215496,USP32
10925,1.072323340922594,CUX1
20382,1.0652279851492494,B2M
23658,1.063925159862265,GAREM
5960,1.05745136924088,SEC62
23173,1.037302539916709,DDX5
9585,1.0360279772430658,KLHL32
23206,1.0337398934643716,BPTF
28008,1.0232622502371669,ARHGEF9
11352,1.0177885936991515,CNTNAP2
15080,1.0130959628149867,DENND5A
26080,1.0048381402157247,ZHX3
4833,1.003949272679165,GOLGA4
23220,0.9996816599741578,ABCA8
25765,0.9974175232928246,BTBD3
15317,0.9965679841116071,ARHGAP1
26810,0.9942241064272821,PRMT2
8509,0.9878343942109495,RNF130
23816,0.983389517525211,KIAA1468
21605,0.977547565009445,GNAO1
4985,0.977328993845731,SETD2
26229,0.9697191547602415,ADNP
11643,0.9672896801494062,MICU3
2050,0.9632655300665647,RABGAP1L
12192,0.943706062156707,UBR5
13945,0.9429992865771055,MARCH8
17628,0.9429437308572233,ATP2A2
23623,0.9421193650923669,ZNF521
5072,0.9375513009727001,RBM6
22995,0.9365705465897918,ZNF652
3609,0.9333649622276425,SEPT10
20478,0.9331405099965195,TCF12
23474,0.9303500140085816,THOC1
7651,0.9277663724496961,SREK1
2633,0.9274681629613042,RGS7
9882,0.922574239782989,AIG1
16071,0.9221981652081013,RAB30
17629,0.9208630099892616,ANAPC7
11647,0.9132096790708601,MTMR7
17445,0.9114570273086429,CEP290
17995,0.9061170283239335,SPATA13
12878,0.9056187467649579,ABHD17B
7997,0.9039163772249594,RAPGEF6
19577,0.9037373287137598,CALM1
15115,0.9011366982012987,BTBD10
4599,0.894730769097805,SRGAP3
6146,0.8933944082818925,OPA1
22783,0.8854821589775383,EIF1
5435,0.8848976518493146,LINC00883
8203,0.883309995289892,NDFIP1
7697,0.8832505363970995,FCHO2
6724,0.8805022072046995,SCARB2
10489,0.8804348492994905,GRB10
15934,0.8778668090235442,CTTN
3139,0.8764002127572894,XPO1
13049,0.8752818871289492,SLC35D2
13814,0.8726785751059651,WAC
11982,0.8713530940003693,ARFGEF1
26403,0.8578573409467936,TEKT4P2
1978,0.8555977697833441,ATP1B1
23488,0.8546223775483668,SMCHD1
8258,0.8523197758477181,CSNK1A1
3098,0.8485270806122571,PSME4
20728,0.847104893065989,IREB2
1068,0.8432251280173659,ZNHIT6
18687,0.8388641364872456,TPP2
1225,0.8318883418105543,GPSM2
23886,0.8270168406888843,ATP9B
12759,0.8195921555161476,ZCCHC7
9514,0.8159160180948675,DOPEY1
9881,0.8136516269296408,HIVEP2
21772,0.8123740220908076,NFAT5
22605,0.8111105391290039,TAF15
19606,0.8102638116106391,BTBD7
3114,0.8100809883326292,PNPT1
20536,0.8070353693328798,ZNF609
21152,0.8063179501332343,SEC14L5
9719,0.8042221853975207,CEP85L
523,0.7991266632452607,KHDRBS1
14284,0.7969346139580011,WAPAL
21634,0.7967551243491471,CPNE2
4240,0.7957494626753032,PIKFYVE
4195,0.7953738304786384,ABI2
7460,0.7891278159804642,PDZD2
10984,0.788521358044818,COG5
19164,0.7868707818561234,RALGAPA1
9040,0.7851920938119292,HSPA1B
519,0.7842923193238676,COL16A1
2221,0.7829790427349508,CSRP1
762,0.779885295778513,NASP
28408,0.7792181563563645,WDR44
26609,0.7778646373189986,SON
17301,0.7762626907788217,SLC16A7
18205,0.7750613474054262,RGCC
393,0.7713914262130857,NIPAL3
22554,0.7710078274831176,SUZ12
23342,0.7687926604412496,SRSF2
1368,0.7679556470829993,MAN1A2
3227,0.7664657477289438,DYSF
7994,0.7654186189174652,HINT1
5396,0.7631078958511353,CMSS1
7968,0.7609054162167013,GRAMD3
20771,0.757341135526076,CPEB1
18523,0.7564653311856091,NDFIP2
23965,0.7557077463716269,DAZAP1
16325,0.7555251502708416,SIK3
17412,0.7526650365907699,NAV3
6914,0.7501242654398084,PAPSS1
23669,0.7499055722728372,ZNF24
2234,0.7490592007525265,ARL8A
17559,0.7488582255318761,HSP90B1
26513,0.7475039456039667,LTN1
3025,0.742253641365096,SOS1
7265,0.7362509518861771,GPM6A
12943,0.7358836145140231,NTRK2
21262,0.7356446657795459,KNOP1
6798,0.73254155064933,PTPN13
2779,0.7317649328615516,KIDINS220
25956,0.7309466572478414,CBFA2T2
13731,0.7299553714692593,STAM
14366,0.7266812375746667,EXOC6
4545,0.725256057921797,FARP2
14061,0.724173100432381,ZNF365
8552,0.7164296032860875,GMDS-AS1
25967,0.7155536883510649,RALY
3908,0.7127411661203951,GCA
17131,0.7121645209845155,ATF7
1064,0.7091108285821974,C1orf52
19229,0.7079794337041676,KLHDC1
17924,0.7076876917853951,MPHOSPH8
3798,0.7061580494046211,DARS
17763,0.7059795286040753,P2RX7
25824,0.7052034754306078,RIN2
9769,0.7045351436536293,PTPRK
6809,0.7031007464975119,SPARCL1
705,0.7030757637694478,ELOVL1
10884,0.7012278493493795,TSC22D4
9983,0.6984171606600285,SERAC1
24826,0.6971786580979824,SAMD4B
15979,0.6949026416987181,FCHSD2
16484,0.6941116256639361,NRGN
9506,0.691732244566083,BCKDHB
7022,0.6915383406449109,KIAA1109
28081,0.6886590053327382,TAF1
16541,0.6864988342858851,ZBTB44
13849,0.682302737608552,ITGB1
21164,0.6819021701812744,USP7
14048,0.6816277783364058,FAM13C
7589,0.6794555319938809,SLC38A9
7845,0.6793742310255766,LNPEP
21916,0.6784447273239493,COX4I1
14296,0.6716559957712889,GLUD1
18199,0.6709461258724332,NAA16
14622,0.6676795962266624,ENO4
3932,0.6660072428639978,STK39
2355,0.6654108823277056,RCOR3
4434,0.6628207124304026,DIS3L2
26237,0.6627361341379583,ATP9A
13370,0.6588018863985781,CERCAM
1918,0.657216364517808,RGS5
19526,0.6568955203983933,SPTLC2
13146,0.6562689864076674,ZNF462
5639,0.6539012850262225,RAB7A
22517,0.6526592728332616,SSH2
1097,0.649788546608761,LRRC8B
18206,0.6481171257328242,VWA8
622,0.6423710398375988,C1orf122
19205,0.634707810357213,PRPF39
16408,0.6340438809711486,SORL1
21745,0.6335447039455175,NFATC3
7121,0.6307275048457086,ZNF827
2206,0.6300307884812355,CAMSAP2
2905,0.6291623538127169,DPYSL5
12986,0.628606548300013,AUH
20341,0.6276892002206296,UBR1
23793,0.6273711853427812,ZNF532
6168,0.6256588748656213,LINC00969
11453,0.6225775368511677,LMBR1
6779,0.6209306949749589,LIN54
7086,0.6198014812543988,SCOC
21091,0.6183747076429427,PAQR4
20903,0.6179213309660554,LRRC28
12154,0.6158025569748133,MTDH
4068,0.6139673502184451,FAM171B
8038,0.6139514790847898,SAR1B
15134,0.6120710331015289,C11orf58
6636,0.6118334685452282,YTHDC1
25838,0.611648085527122,NKX2-2
2264,0.6112193339504302,ZC3H11A
5571,0.6106351357884705,SEC22A
2385,0.6101276010740548,PROX1
25696,0.609159137122333,C20orf194
4743,0.6085386388003826,NR1D2
10976,0.6058741896413267,SYPL1
28591,0.6030637547373772,RBMX
12706,0.601766343228519,VCP
8232,0.5991969413589686,JAKMIP2
2530,0.598351773340255,RHOU
27229,0.5982927205041051,RTCB
4095,0.5959261250682175,INPP1
2186,0.5955550274811685,CRB1
3156,0.5945658888667822,VPS54
20411,0.5920643578283489,EID1
19320,0.591016055084765,KIAA0586
4121,0.5883432978298515,ANKRD44
7059,0.5863547497428954,PCDH10
17335,0.5831625135615468,LEMD3
16281,0.5788734976667911,DIXDC1
27369,0.578633576631546,RANGAP1
21293,0.576709350803867,NPIPB4
23944,0.5755585189908743,TMEM259
6853,0.5744303490500897,RAP1GDS1
5666,0.5744195783045143,TMCC1
4127,0.5734000643715262,HSPD1
3716,0.5730223669670522,WDR33
15082,0.5722123277373612,IPO7
1725,0.5719602084718645,ARHGEF2
11883,0.5717235789634287,PRKDC
17925,0.5712629081681371,PSPC1
14578,0.568062246311456,BBIP1
1716,0.56766436714679,YY1AP1
5831,0.5675466870889068,SERP1
13170,0.564973090775311,PALM2-AKAP2
20339,0.5647611448075622,TTBK2
3134,0.5638018222525716,KIAA1841
7191,0.5612530279904604,ETFDH
25989,0.5609679343178868,TRPC4AP
27368,0.5597679228521883,CHADL
3639,0.5593471834436059,TTL
18135,0.5590830398723483,SPG20
19673,0.5576951475813985,SLC25A29
9431,0.5546476440504193,PHF3
26854,0.5523978839628398,CECR2
16790,0.5520299281924963,DDX47
18088,0.5517560057342052,HMGB1
4255,0.5442311517545022,LANCL1
10960,0.5438368995673954,ORC5
3487,0.5397711610421538,ANKRD36C
5246,0.5390028590336442,SUCLG2
905,0.536411966662854,PPAP2B
3191,0.5362688847817481,AAK1
2850,0.533441175473854,RHOB
26451,0.5332131427712739,USP25
19283,0.5310639028903097,SAMD4A
126,0.5305755354929715,PER3
27468,0.5297323353588581,TBC1D22A
3157,0.5294628813862801,PELI1
8641,0.5293430996825919,PHACTR1
16620,0.5286751200910658,CD9
2999,0.5282593281008303,HEATR5B
3667,0.5278025697916746,ACTR3
5791,0.526674339082092,C3orf58
23679,0.5250363261438906,ELP2
10018,0.5239322041161358,MAP3K4
12484,0.5193133652210236,VLDLR
1467,0.5191527544520795,CHD1L
1123,0.5184036322752945,EVI5
