index,value,name
15794,130.0454271659255,MALAT1
15264,56.752721294760704,SLC1A2
18428,53.1059145051986,PCDH9
4257,24.51999398879707,ERBB4
5505,22.359360607340932,LSAMP
7494,21.458561588078737,SLC1A3
7265,21.32211341895163,GPM6A
19140,19.441292637959123,NPAS3
7411,18.879893481731415,CTNND2
18579,18.279578290879726,GPC5
6809,14.11811071075499,SPARCL1
25862,13.31325281970203,CST3
3669,12.99555990844965,DPP10
28113,11.8175886310637,XIST
3087,11.386559677077457,NRXN1
12943,11.340686747804284,NTRK2
5211,10.611293647438288,PTPRG
10024,10.406996916979551,QKI
6796,10.324349178001285,MAPK10
11947,9.376099423505366,NKAIN3
12873,8.331335488706827,TRPM3
16549,7.768216265365481,NTM
6794,7.63750193733722,ARHGAP24
7425,7.518161695450544,FBXL7
6843,5.931170688942075,BMPR1B
5497,5.904308340512216,ZBTB20
10703,5.786976853385568,MAGI2
15663,5.724268618971109,FTH1
20223,5.6057114116847515,RYR3
20255,5.580710185691714,MEIS2
6972,5.238321537151933,ANK2
7389,5.082469190470874,ADCY2
4068,5.076883941888809,FAM171B
11660,4.737858854234219,PSD3
11054,4.469225781969726,PTPRZ1
11007,4.441929642111063,DOCK4
12536,3.8134348057210445,NFIB
7627,3.5726611334830523,ZSWIM6
12362,3.5485366508364677,PTK2
16318,3.419512076303363,CADM1
11113,3.4163883263245225,AHCYL2
15265,3.2665232848376036,PAMR1
25746,3.237149520777166,PLCB1
5695,3.23324828222394,TMEM108
20508,3.1607595285167918,RORA
14214,3.0891891410574317,KCNMA1
23201,3.0433002966456115,PITPNC1
12031,2.887733685784042,ZFHX4
28116,2.882743508554995,FTX
17333,2.8798389062285423,WIF1
26080,2.7761672055348754,ZHX3
905,2.7310192454606295,PPAP2B
2776,2.690055533312261,LINC00299
8708,2.682701618410647,LRRC16A
23773,2.6811773758381605,TCF4
7508,2.633063572458923,LIFR
13235,2.593247818760574,ASTN2
23633,2.5631184754893184,AQP4
18111,2.5567552894353867,N4BP2L2
10609,2.5241782292723656,AUTS2
7156,2.471461920067668,TRIM2
2633,2.46882466878742,RGS7
9594,2.4354286529123783,PNISR
17412,2.404225239995867,NAV3
11141,2.288649830967188,MKLN1
9039,2.264285887591541,HSPA1A
14265,2.2410894536878914,NRG3
5990,2.0951557587832212,NAALADL2
123,2.0862514907494187,CAMTA1
4646,2.0827859453856945,ATG7
16840,2.0362528283149004,SLCO1C1
9406,2.0199028057977557,DST
20189,1.9222465557977557,TJP1
26307,1.8993593268096447,PHACTR3
14296,1.8864978840574622,GLUD1
7614,1.8673317674547434,PDE4D
3750,1.855142974294722,ARHGEF4
11944,1.8335771206766367,ASPH
14348,1.8116282932460308,PPP1R3C
3069,1.779737824574113,CALM2
13779,1.709394384175539,PRTFDC1
10174,1.707072863355279,PHF14
17694,1.7051354683935642,MED13L
7072,1.677828947082162,SLC7A11
132,1.66320507414639,RERE
26857,1.6389827523380518,SLC25A18
19136,1.6327163046225905,ARHGAP5
16212,1.5660772360861301,DYNC2H1
16297,1.55461315670982,NCAM1
15182,1.5179938920773566,NAV2
7880,1.5156859438866377,FBXL17
12192,1.511762272566557,UBR5
8207,1.4936789525672793,ARHGAP26
16408,1.489157784730196,SORL1
7220,1.451323735062033,CPE
3226,1.4402226563543081,ZNF638
14657,1.383465220220387,FGFR2
14566,1.3779038656502962,ADD3
12488,1.3526951940730214,RFX3
