index,value,name
15794,81.88025642372668,MALAT1
15264,50.70526184514165,SLC1A2
18428,41.90764255076647,PCDH9
7265,27.02013992331922,GPM6A
5505,23.28921007551253,LSAMP
4257,21.384332720190287,ERBB4
19140,20.107359535992146,NPAS3
18579,18.548264930024743,GPC5
3087,17.928874452598393,NRXN1
7411,15.75996608287096,CTNND2
6809,15.21976456604898,SPARCL1
12943,15.005067417398095,NTRK2
28113,14.525017958134413,XIST
7494,13.466207694262266,SLC1A3
25862,13.335106752812862,CST3
5497,11.60996223706752,ZBTB20
6796,11.59085887670517,MAPK10
16549,11.292506914585829,NTM
6972,10.440180188044906,ANK2
7425,9.78301758505404,FBXL7
6794,8.70354291331023,ARHGAP24
20508,8.10277934372425,RORA
3669,8.076822875067592,DPP10
20223,7.552611447870731,RYR3
12873,7.030655026435852,TRPM3
11947,6.450743533205241,NKAIN3
5211,6.417600721120834,PTPRG
23201,5.730160881765187,PITPNC1
4068,5.174983812496066,FAM171B
15663,5.161853633821011,FTH1
8708,4.437936645001173,LRRC16A
20255,4.399684007279575,MEIS2
10024,4.394423425197601,QKI
25746,4.296027855947614,PLCB1
7627,4.268433733843267,ZSWIM6
28116,4.2108607403934,FTX
11007,4.192348851822317,DOCK4
6843,4.125598505139351,BMPR1B
10609,4.085195630788803,AUTS2
17333,3.8444914780557156,WIF1
12362,3.6951459255069494,PTK2
13747,3.6114737652242184,NEBL
7389,3.557820755057037,ADCY2
905,3.551389549858868,PPAP2B
12536,3.387963904067874,NFIB
11984,3.352910776156932,PREX2
15278,3.3160963910631835,LRRC4C
2776,3.2880155919119716,LINC00299
2633,3.1831302009522915,RGS7
14265,3.1810477427206933,NRG3
14214,3.125178429298103,KCNMA1
924,3.0712389815598726,NFIA
11660,3.0643506292253733,PSD3
9039,2.9673192286863923,HSPA1A
20189,2.9293122589588165,TJP1
5695,2.7944295406341553,TMEM108
11054,2.793611526954919,PTPRZ1
7508,2.778449758887291,LIFR
11113,2.7052706498652697,AHCYL2
18111,2.6891362760215998,N4BP2L2
17412,2.6815577959641814,NAV3
14296,2.5671086814254522,GLUD1
26080,2.554336872883141,ZHX3
7072,2.507816064171493,SLC7A11
23821,2.482159435749054,PHLPP1
12031,2.4607229121029377,ZFHX4
15265,2.4232434388250113,PAMR1
123,2.3214394142851233,CAMTA1
7156,2.2883759792894125,TRIM2
13779,2.2545336820185184,PRTFDC1
17694,2.1792874485254288,MED13L
14399,2.1664400422014296,SORBS1
132,2.1246303459629416,RERE
12488,2.0405726861208677,RFX3
16318,2.02682521706447,CADM1
26307,2.0207315776497126,PHACTR3
3069,1.9923834819346666,CALM2
9594,1.972394360229373,PNISR
959,1.9658666360192,PDE4B
16212,1.9442880470305681,DYNC2H1
5243,1.9043811224400997,LRIG1
13235,1.8772742804139853,ASTN2
3226,1.8274803385138512,ZNF638
14066,1.8102520145475864,JMJD1C
23773,1.7979131047613919,TCF4
7999,1.7951431842520833,ACSL6
6677,1.7919911234639585,SLC4A4
2108,1.7079130581114441,GLUL
23633,1.6976401377469301,AQP4
14657,1.6944690998643637,FGFR2
8107,1.6759301386773586,PSD2
10259,1.6756967287510633,HNRNPA2B1
16840,1.6654444867745042,SLCO1C1
6774,1.6572118308395147,SCD5
26479,1.6560132089070976,NCAM2
10174,1.589758925139904,PHF14
27570,1.5030434876680374,MID1
5099,1.5023733619600534,DOCK3
3750,1.4972594431601465,ARHGEF4
12911,1.4931539786048234,GNAQ
14348,1.480412919074297,PPP1R3C
11208,1.4317742139101028,BRAF
5990,1.3544182069599628,NAALADL2
27595,1.3507907781749964,GPM6B
23529,1.345288592390716,ANKRD12
19136,1.339714067056775,ARHGAP5
27714,1.3371149376034737,DMD
4646,1.3305358905345201,ATG7
21772,1.2898343559354544,NFAT5
6249,1.2857957240194082,FGFR3
10020,1.2831017281860113,PARK2
14566,1.2812235550954938,ADD3
11429,1.2205015076324344,KMT2C
16408,1.2103131050243974,SORL1
2186,1.2042027162387967,CRB1
3115,1.2022205046378076,EFEMP1
26013,1.1731953583657742,RBM39
12537,1.1636956930160522,ZDHHC21
7614,1.1431550576817244,PDE4D
9725,1.1340775461867452,FAM184A
21544,1.1221920559182763,ITFG1
11737,1.094712519319728,CLU
