index,value,name
18428,26.61568710207939,PCDH9
15794,18.926802910864353,MALAT1
4257,14.056586809456348,ERBB4
10961,12.63370094448328,LHFPL3
5497,11.847170423716307,ZBTB20
6429,9.843476474285126,KCNIP4
14031,9.488602362573147,PCDH15
3087,7.999124273657799,NRXN1
11485,7.585423439741135,CSMD1
15278,7.2189464792609215,LRRC4C
5695,6.360533382743597,TMEM108
19140,6.163803800940514,NPAS3
5211,6.090488355606794,PTPRG
6796,5.991741565987468,MAPK10
7209,5.651435948908329,MARCH1
20508,5.576550833880901,RORA
998,4.302855242043734,NEGR1
11054,4.170825906097889,PTPRZ1
26479,3.3643766958266497,NCAM2
228,3.1644370332360268,KAZN
4560,3.1566093773581088,CHL1
21242,3.1184376319870353,XYLT1
28113,3.0740574076771736,XIST
7411,3.0663366056978703,CTNND2
19213,2.7297889115288854,MDGA2
5505,2.713116789876949,LSAMP
6835,2.7054421231150627,GRID2
17427,2.660846780054271,PPFIA2
15203,2.6139385122805834,LUZP2
3226,2.588835649192333,ZNF638
16106,2.5060843522660434,GRM5
7460,2.4908618116751313,PDZD2
18125,2.4544916106387973,NBEA
12536,2.3682615775614977,NFIB
4397,2.2254716036841273,DNER
14214,2.187365410849452,KCNMA1
5426,2.1597275836393237,ALCAM
4572,2.131160424090922,LRRN1
15182,2.1105121839791536,NAV2
16859,2.0741173587739468,SOX5
6456,2.0466264872811735,PCDH7
7185,2.034912768751383,GRIA2
27714,1.8951893681660295,DMD
15133,1.8795088715851307,SOX6
4719,1.8459054697304964,KCNH8
16297,1.7848669802770019,NCAM1
6025,1.7766968193463981,SOX2-OT
16549,1.7452142834663391,NTM
1010,1.678813537582755,SLC44A5
2059,1.5774538107216358,TNR
5238,1.5580329233780503,MAGI1
7099,1.5227638371288776,GAB1
28116,1.5138509776443243,FTX
5990,1.511937820352614,NAALADL2
7425,1.5113559607416391,FBXL7
7226,1.4971368722617626,SPOCK3
6114,1.4344661068171263,LPP
15264,1.427607273682952,SLC1A2
13235,1.4007215551100671,ASTN2
27699,1.3251378485001624,IL1RAPL1
6774,1.2982315137051046,SCD5
14555,1.2715005683712661,SORCS3
7614,1.1907918946817517,PDE4D
14265,1.1820173119194806,NRG3
18235,1.178006824105978,TSC22D1
13744,1.171771252527833,PLXDC2
19198,1.1715606320649385,LRFN5
16318,1.1607947684824467,CADM1
11141,1.1569090392440557,MKLN1
901,1.1476367842406034,USP24
14052,1.1282141245901585,ANK3
23773,1.1123229316435754,TCF4
21199,1.1081351917237043,SHISA9
3031,1.0553508955053985,SLC8A1
12943,1.0491133453324437,NTRK2
4249,1.0404330817982554,UNC80
13104,1.0282468437217176,LPPR1
7145,0.9912891071289778,SH3D19
11208,0.9868631912395358,BRAF
6809,0.9717168807983398,SPARCL1
16551,0.9608830288052559,OPCML
10174,0.9481934327632189,PHF14
809,0.9425851828418672,SPATA6
23821,0.9369363659061491,PHLPP1
4715,0.9250265639275312,TBC1D5
