index,value,name
15794,35.80332691967487,MALAT1
11485,19.164333790540695,CSMD1
14031,17.627596363425255,PCDH15
3087,12.451652854681015,NRXN1
10961,10.736855313181877,LHFPL3
18428,10.157866798341274,PCDH9
5497,9.443478044122458,ZBTB20
4257,7.585714668035507,ERBB4
15278,6.264698721468449,LRRC4C
11054,5.236420840024948,PTPRZ1
7209,4.638840889558196,MARCH1
6025,4.382209429517388,SOX2-OT
5211,4.056185692548752,PTPRG
6796,3.9818380251526833,MAPK10
959,3.6673776376992464,PDE4B
5505,3.4487975970841944,LSAMP
19213,3.3892281365115196,MDGA2
6835,3.2784756645560265,GRID2
26479,3.2395029217004776,NCAM2
28113,3.201274808496237,XIST
7265,3.1002966966480017,GPM6A
16106,3.021586020477116,GRM5
19140,2.9674778832122684,NPAS3
5426,2.961148062720895,ALCAM
18676,2.90493131428957,FGF14
12238,2.682343540713191,CSMD3
12527,2.5938102868385613,PTPRD
7185,2.578893419355154,GRIA2
5695,2.491854315623641,TMEM108
21242,2.478923350572586,XYLT1
6774,2.476943539455533,SCD5
7226,2.4224320519715548,SPOCK3
228,2.4086689152754843,KAZN
16549,2.367226904258132,NTM
17521,2.351974432822317,ANKS1B
7411,2.222504671663046,CTNND2
17427,2.2222163984552026,PPFIA2
20508,2.164762619882822,RORA
16229,2.1491445945575833,GRIA4
21199,2.0622836593538523,SHISA9
7460,1.9931090725585818,PDZD2
6972,1.9825674574822187,ANK2
17838,1.8502790043130517,TMEM132C
18125,1.8277964005246758,NBEA
13235,1.8072616001591086,ASTN2
12536,1.673986497335136,NFIB
3226,1.6635567750781775,ZNF638
3812,1.646033710349002,LRP1B
27699,1.6092159692198038,IL1RAPL1
2059,1.608843183144927,TNR
14066,1.5895380871370435,JMJD1C
27714,1.5322118662297726,DMD
25746,1.505493376404047,PLCB1
14265,1.4477511269506067,NRG3
2633,1.415445695631206,RGS7
2223,1.3881489848718047,NAV1
4397,1.3444754611700773,DNER
18111,1.3136262018233538,N4BP2L2
10024,1.2659664303064346,QKI
17694,1.257408194243908,MED13L
7614,1.247819788288325,PDE4D
16859,1.2469931682571769,SOX5
6429,1.2317035852465779,KCNIP4
14214,1.2108550854027271,KCNMA1
7627,1.2087501967325807,ZSWIM6
23759,1.1989862192422152,DCC
3855,1.1922225006856024,GALNT13
5990,1.188410289119929,NAALADL2
998,1.1879481528885663,NEGR1
14052,1.184069311246276,ANK3
16297,1.1833764305338264,NCAM1
13744,1.1693231202661991,PLXDC2
3031,1.1654826765879989,SLC8A1
10174,1.1370207238942385,PHF14
14555,1.136806367430836,SORCS3
809,1.1055934093892574,SPATA6
3669,1.0952033423818648,DPP10
15264,1.0614681905135512,SLC1A2
19198,1.0521736266091466,LRFN5
17533,1.0341919213533401,ANO4
6844,0.9929931731894612,UNC5C
18585,0.9913634234108031,GPC6
924,0.9827176667749882,NFIA
132,0.9809230277314782,RERE
12943,0.9766214755363762,NTRK2
5988,0.9692642146255821,NLGN1
28116,0.9593207752332091,FTX
6809,0.9520711805671453,SPARCL1
10714,0.9453782164491713,CACNA2D1
13104,0.9401187971234322,LPPR1
6005,0.9242263259366155,KCNMB2
1010,0.8894633548334241,SLC44A5
5238,0.8867534287273884,MAGI1
23693,0.8751089591532946,RIT2
15182,0.8526601344347,NAV2
6135,0.8494847319816472,FGF12
12362,0.8398141018114984,PTK2
23821,0.7678329185582697,PHLPP1
9423,0.7586329914629459,KHDRBS2
19394,0.7446422697976232,GPHN
11007,0.7442349819466472,DOCK4
7394,0.733715555164963,SEMA5A
23201,0.7333470862358809,PITPNC1
23773,0.7327005777042359,TCF4
27595,0.7258832245133817,GPM6B
11208,0.7249374520033598,BRAF
14558,0.7218234641477466,SORCS1
7425,0.7106671137735248,FBXL7
4719,0.7104064323939383,KCNH8
16233,0.7099217772483826,GUCY1A2
16325,0.7028292501345277,SIK3
4560,0.7010565637610853,CHL1
7414,0.6999634075909853,TRIO
11984,0.6997887892648578,PREX2
6114,0.6988322734832764,LPP
17416,0.6899548568762839,PPP1R12A
7307,0.6761822206899524,SORBS2
7240,0.6720796236768365,CLCN3
11660,0.6509629138745368,PSD3
7145,0.6445534639060497,SH3D19
16318,0.640684527810663,CADM1
8303,0.6358918864279985,GRIA1
3069,0.6221256367862225,CALM2
123,0.6200337060727179,CAMTA1
5310,0.6186051284894347,ROBO1
23522,0.6047273920848966,PTPRM
988,0.5950000341981649,SRSF11
7449,0.591388167347759,CDH10
21590,0.5824012849479914,FTO
4572,0.5813510250300169,LRRN1
5837,0.5804118849337101,MED12L
12537,0.5731711774133146,ZDHHC21
11042,0.5697956765070558,CTTNBP2
12214,0.5647852886468172,ZFPM2
19429,0.5640238290652633,SMOC1
3078,0.556607810780406,FOXN2
7441,0.5545646985992789,CDH18
25862,0.553013289347291,CST3
23623,0.5522057898342609,ZNF521
4249,0.5501432595774531,UNC80
12911,0.5450992118567228,GNAQ
11947,0.5351344670634717,NKAIN3
10673,0.5307485517114401,HIP1
14281,0.527121264487505,GRID1
3077,0.5248168129473925,FBXO11
4070,0.5121518806554377,CALCRL
15663,0.5048764450475574,FTH1
11005,0.5033655874431133,IMMP2L
6880,0.5016934287268668,PPP3CA
18501,0.501099715474993,SLAIN1
18617,0.50109295360744,MBNL2
3911,0.4846896748058498,FIGN
7156,0.47616858780384064,TRIM2
19607,0.47596911108121276,UNC79
27746,0.47397967986762524,TSPAN7
22632,0.473465446382761,ACACA
27128,0.4733176361769438,SEZ6L
19283,0.46633839840069413,SAMD4A
7880,0.46483222814276814,FBXL17
13779,0.4627639753744006,PRTFDC1
3696,0.46073529217392206,CLASP1
10998,0.4597934631165117,NRCAM
19164,0.44629890844225883,RALGAPA1
3230,0.4398253527469933,EXOC6B
4703,0.4380271630361676,ANKRD28
9444,0.43636018922552466,COL9A1
12216,0.4330127350986004,OXR1
6542,0.4316407507285476,FRYL
7138,0.4263634253293276,LRBA
9445,0.4241413790732622,FAM135A
7789,0.4236318622715771,EDIL3
3976,0.41885709250345826,RAPGEF4
1959,0.4125890890136361,DCAF6
15106,0.4068341702222824,USP47
12532,0.4058579485863447,MPDZ
