,Astro,Endo,ODC,OPC
PDGFRA,0.7578878576947933,0.7174597119978824,0.5061470921672282,0.861527220072291
PTPRZ1,0.8908172536177069,0.7516823066557897,0.5475188490884613,0.8938392276389048
VCAN,0.8988348829070508,0.6693856032968046,0.4528415193716628,0.7903078042853192
SLC1A2,0.9078486640736003,0.6209496929127497,0.7351058571500146,0.8771576787602157
SLC1A3,0.8933604155860385,0.6537225806744265,0.673433571772193,0.8869490475722147
GPM6A,0.9131762438327099,0.766303463316371,0.4841159287729186,0.8975658619427929
MBP,0.7925559437508927,0.747046671584812,0.6342973206569551,0.8117239453029745
QKI,0.8284876266117334,0.6169472080036722,0.5764441406170265,0.8975788061073656
DOCK10,0.9239380620831699,0.653680913410635,0.5522434467522176,0.9247592835328495
PIP4K2A,0.889293196522553,0.5743309185436706,0.5076864482214553,0.8595723962301075
